disease_to_gene_occurrences,disease_to_gene_pub_counts,disease_to_int_to_gen_occurrences,disease_to_int_to_gene_pubs,disease_symtpoms_gene_related_to,disease_symtpoms_gene_related_to_count,unique_symptoms_count,gene_to_symptoms_pub_counts,gene_edges_out
1,0,2,0,"['INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'NEUROPATHY', 'ATAXIA', 'ATAXIA', 'ATAXIA', 'ATAXIA', 'ATAXIA', 'PERIPHERAL NEUROPATHY', 'NEUROPATHY', 'HEARING IMPAIRMENT', 'TELANGIECTASIA', 'CATARACT']",13,7,9,963
1,0,143,141,"['HEARING LOSS, SENSORINEURAL', 'OPTIC ATROPHY', 'ATAXIA', 'ATAXIA', 'ATAXIA', 'NEUROPATHY', 'MALIGNANT MELANOMA']",7,5,1,2139
1,0,49,0,"['FATIGUE', 'ARTHRALGIA', 'FEVER', 'EPILEPSY', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'TELANGIECTASIA']",7,6,1,2975
1,0,82,0,"['CROSS-EYED', 'HEARING LOSS, SENSORINEURAL', 'CRYPTORCHIDISM', 'EPILEPSY']",4,4,4,749
1,0,2,0,"['FAILURE TO THRIVE', 'NEUROPATHY', 'ATAXIA', 'EPILEPSY', 'CONGENITAL DEAFNESS', 'ATAXIA', 'NEUROPATHY']",7,5,0,563
1,0,4,0,"['ARTHRALGIA', 'FEVER', 'FAILURE TO THRIVE', 'ATAXIA', 'NEUROPATHY']",5,5,0,367
1,0,5,0,"['ABNORMALITY OF COGNITION', 'ATAXIA', 'MALIGNANT MELANOMA']",3,3,1,399
1,0,141,153,"['CROSS-EYED', 'ABNORMAL DENTITION', 'MALIGNANT MELANOMA', 'NEUROPATHY']",4,4,0,600
1,0,19,0,"['FEVER', 'CATARACT', 'TELANGIECTASIA', 'ATAXIA']",4,4,0,960
1,0,10,0,"['THIN SKIN', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MELANOCYTIC NEVUS', 'MELANOCYTIC NEVUS']",9,3,11,661
1,0,113,203,"['ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'FAILURE TO THRIVE', 'FAILURE TO THRIVE', 'CANCER OF SKIN PIGMENT CELLS', 'DECREASED BODY HEIGHT', 'ABNORMAL TISSUE MASS', 'CROSS-EYED', 'DECREASED ACTIVITY OF GONADS', 'CRYPTORCHIDISM', 'CONGENITAL DEAFNESS', 'HYPOPIGMENTED SKIN PATCHES', 'CATARACT', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'FEVER']",19,13,697,1843
1,0,20,0,"['ABNORMALLY SMALL CRANIUM', 'EPILEPSY', 'CATARACT', 'MALIGNANT MELANOMA', 'ALOPECIA']",5,5,3,549
1,0,4,0,"['DECREASED BODY HEIGHT', 'FATIGUE']",2,2,0,420
1,0,4,0,"['DECREASED BODY HEIGHT', 'CROSS-EYED', 'ABNORMALLY SMALL CRANIUM', 'ABNORMAL DENTITION', 'OPTIC ATROPHY', 'FAILURE TO THRIVE', 'CRYPTORCHIDISM', 'EPILEPSY', 'CONGENITAL DEAFNESS', 'HYPOPIGMENTED SKIN PATCHES', 'CATARACT', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA']",14,12,1,628
1,0,23,0,"['CUTANEOUS PHOTOSENSITIVITY', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'HYPERKERATOSIS', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'TELANGIECTASIA', 'NEUROPATHY', 'ATAXIA']",10,7,2,728
1,0,53,0,"['EPILEPSY', 'MALIGNANT MELANOMA', 'TELANGIECTASIA', 'PAPILLOMA', 'ATAXIA']",5,5,1,693
1,0,1,0,"['DEVELOPMENTAL REGRESSION', 'FAILURE TO THRIVE', 'ATAXIA', 'ATAXIA', 'NEUROPATHY']",5,4,0,249
1,0,24,0,"['HEARING LOSS, SENSORINEURAL', 'MALIGNANT MELANOMA', 'TELANGIECTASIA']",3,3,1,1384
1,0,86,0,"['EPILEPSY', 'DECREASED BODY HEIGHT', 'DELAYED BONE AGE', 'HYPERKERATOSIS', 'ABNORMALLY SMALL CRANIUM', 'DECREASED TESTICULAR SIZE', 'FAILURE TO THRIVE', 'CRYPTORCHIDISM', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'CLOUDY CORNEA', 'NEUROPATHY', 'ATAXIA']",13,13,0,746
1,0,3,0,"['CATARACT', 'CATARACT', 'FAILURE TO THRIVE', 'FAILURE TO THRIVE', 'ABNORMAL URINARY AMINO-ACID FINDINGS', 'ABNORMAL URINARY AMINO-ACID FINDINGS', 'ATAXIA', 'CATARACT', 'CATARACT', 'CATARACT', 'ATAXIA']",11,4,377,521
1,0,131,130,"['ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'ATAXIA', 'ATAXIA', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'ATAXIA']",9,4,5,607
1,0,45,0,"['ABNORMALLY SMALL CRANIUM', 'DECREASED BODY HEIGHT', 'ABNORMAL TISSUE MASS', 'CROSS-EYED', 'DECREASED ACTIVITY OF GONADS', 'CRYPTORCHIDISM', 'CONGENITAL DEAFNESS', 'HYPOPIGMENTED SKIN PATCHES', 'CATARACT', 'TELANGIECTASIA', 'MALIGNANT MELANOMA', 'ATAXIA']",12,12,2,646
1,0,11,0,"['INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'EPILEPSY', 'MALIGNANT MELANOMA']",3,3,0,821
1,0,12,0,"['CROSS-EYED', 'ALOPECIA', 'CATARACT', 'ALOPECIA', 'ALOPECIA', 'ALOPECIA', 'MALIGNANT MELANOMA', 'NEUROPATHY']",8,5,2,551
1,0,51,0,"['FAILURE TO THRIVE', 'DRY SKIN', 'DIFFUSELY THICKENED SKIN', 'FEVER', 'ALOPECIA', 'ATAXIA', 'MALIGNANT MELANOMA']",7,7,0,481
1,0,11,0,"['ATAXIA', 'EPILEPSY', 'ABNORMALLY SMALL CRANIUM', 'NEUROPATHY', 'ATAXIA']",5,4,0,485
1,0,19,0,"['ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'CROSS-EYED', 'CROSS-EYED', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'FAILURE TO THRIVE', 'EPILEPSY', 'CONGENITAL DEAFNESS', 'ABNORMAL EEG', 'CEREBRAL CORTEX ATROPHY', 'HEARING LOSS, SENSORINEURAL', 'ABNORMAL DENTITION', 'CRYPTORCHIDISM', 'ATAXIA', 'PAPILLOMA']",16,13,20,627
1,0,4,0,"['ABNORMALLY SMALL CRANIUM', 'TELANGIECTASIA', 'CATARACT', 'ATAXIA', 'NEUROPATHY']",5,5,0,357
1,0,16,0,"['CATARACT', 'ARTHRALGIA', 'DEVELOPMENTAL REGRESSION', 'FATIGUE', 'OPTIC ATROPHY', 'ALOPECIA', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'ATAXIA', 'CATARACT', 'MALIGNANT MELANOMA', 'NEUROPATHY', 'ALOPECIA']",12,10,0,625
1,0,11,0,"['EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'OPTIC ATROPHY', 'OPTIC ATROPHY', 'EPILEPSY', 'CONGENITAL DEAFNESS', 'CATARACT', 'CATARACT', 'ATAXIA', 'MALIGNANT MELANOMA']",10,7,18,505
1,0,30,0,"['DECREASED BODY HEIGHT', 'ABNORMAL TISSUE MASS', 'DEVELOPMENTAL REGRESSION', 'CUTANEOUS PHOTOSENSITIVITY', 'FATIGUE', 'CROSS-EYED', 'BLEPHARITIS', 'DIFFUSELY THICKENED SKIN', 'ABNORMAL DENTITION', 'ALOPECIA', 'CRYPTORCHIDISM', 'CATARACT', 'ECTROPION', 'MALIGNANT MELANOMA', 'ATAXIA']",15,15,0,1490
1,0,16,0,"['ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'EPILEPSY', 'EPILEPSY', 'NEUROPATHY', 'FATIGUE', 'DECREASED ACTIVITY OF GONADS', 'ALOPECIA', 'ARTHRALGIA', 'CEREBRAL CORTEX ATROPHY', 'ABNORMALITY OF COGNITION', 'FAILURE TO THRIVE', 'INTELLECTUAL DISABILITY, PROGRESSIVE', 'CUTANEOUS TELANGIECTASIA', 'CATARACT', 'PERIPHERAL NEUROPATHY', 'ALOPECIA', 'ALOPECIA', 'ATAXIA']",19,15,2,1639
1,0,62,0,"['CRYPTORCHIDISM', 'MALIGNANT MELANOMA', 'ATAXIA']",3,3,2,837
1,0,28,0,"['ALOPECIA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'TELANGIECTASIA', 'BLEPHARITIS']",6,4,2,1831
1,0,19,0,"['DEVELOPMENTAL REGRESSION', 'ABNORMALLY SMALL CRANIUM', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'EPILEPSY', 'ATAXIA', 'NEUROPATHY']",6,6,0,332
1,0,22,0,"['ABNORMAL TISSUE MASS', 'DECREASED BODY HEIGHT', 'FATIGUE', 'ABNORMALITY OF COGNITION', 'ATAXIA', 'EPILEPSY', 'CONGENITAL DEAFNESS', 'FLAT, DISCOLORED AREA OF SKIN', 'CANCER OF SKIN PIGMENT CELLS', 'PAPILLOMA', 'DEVELOPMENTAL REGRESSION', 'OPTIC ATROPHY', 'FAILURE TO THRIVE', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'HYPOPIGMENTED SKIN PATCHES', 'CATARACT', 'BEAUTY MARK', 'FATIGUE', 'MALIGNANT MELANOMA']",19,18,31,1255
1,0,9,0,"['DECREASED BODY HEIGHT', 'DRY SKIN', 'FAILURE TO THRIVE', 'CATARACT', 'NEUROPATHY']",5,5,0,536
1,0,69,0,"['ABNORMALITY OF COGNITION', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'MALIGNANT MELANOMA', 'ATAXIA']",4,4,0,1143
1,0,18,0,"['THIN SKIN', 'ABNORMAL TISSUE MASS', 'ATAXIA', 'PAPILLOMA']",4,4,0,1158
1,0,7,0,"['DRY SKIN', 'ECTROPION', 'CLOUDY CORNEA', 'PERIPHERAL NEUROPATHY', 'PERIPHERAL NEUROPATHY', 'ECTROPION', 'TELANGIECTASIA', 'MALIGNANT MELANOMA', 'ATAXIA']",9,7,1,1739
1,0,110,224,"['NEUROPATHY', 'NEUROPATHY', 'ABNORMAL TISSUE MASS', 'ABNORMAL TISSUE MASS', 'CRYPTORCHIDISM', 'DECREASED ACTIVITY OF GONADS', 'ARTHRALGIA', 'ARTHRALGIA', 'HEARING IMPAIRMENT', 'ATAXIA', 'ATAXIA', 'ALOPECIA', 'ALOPECIA', 'ALOPECIA', 'ALOPECIA', 'NEUROPATHY', 'NEUROPATHY', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA']",19,9,17,7003
1,0,33,0,"['CRYPTORCHIDISM', 'CRYPTORCHIDISM', 'HEARING LOSS, SENSORINEURAL', 'HEARING LOSS, SENSORINEURAL', 'CROSS-EYED', 'CROSS-EYED', 'EPILEPSY', 'EPILEPSY', 'EPILEPSY', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'ABNORMAL DENTITION', 'CONGENITAL DEAFNESS', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PAPILLOMA', 'SQUINT', 'NEUROPATHY']",18,11,6,1289
1,0,4,0,"['ABNORMAL EEG', 'CROSS-EYED', 'FAILURE TO THRIVE', 'ATAXIA', 'EPILEPSY', 'CONGENITAL DEAFNESS']",6,6,0,212
1,0,37,0,"['ABNORMALLY SMALL CRANIUM', 'DECREASED TESTICULAR SIZE', 'CRYPTORCHIDISM', 'ATAXIA', 'MALIGNANT MELANOMA']",5,5,0,884
1,0,14,0,"['EPILEPSY', 'EPILEPSY', 'CRYPTORCHIDISM', 'CRYPTORCHIDISM', 'DECREASED ACTIVITY OF GONADS', 'DECREASED ACTIVITY OF GONADS', 'ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'DECREASED TESTICULAR SIZE', 'DECREASED TESTICULAR SIZE', 'FAILURE TO THRIVE', 'CONGENITAL DEAFNESS', 'NEUROPATHY', 'DELAYED BONE AGE', 'CEREBRAL CORTEX ATROPHY', 'CROSS-EYED', 'HEARING LOSS, SENSORINEURAL', 'BLEPHARITIS', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'CATARACT', 'ATAXIA', 'MALIGNANT MELANOMA']",24,18,35,1445
1,0,19,0,"['EPILEPSY', 'CONGENITAL DEAFNESS', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PAPILLOMA']",5,4,0,1181
1,0,29,0,"['CRYPTORCHIDISM', 'CRYPTORCHIDISM', 'CRYPTORCHIDISM', 'DECREASED ACTIVITY OF GONADS', 'DECREASED ACTIVITY OF GONADS', 'ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'HEARING LOSS, SENSORINEURAL', 'HEARING LOSS, SENSORINEURAL', 'HEARING LOSS, SENSORINEURAL', 'OPTIC ATROPHY', 'OPTIC ATROPHY', 'EPILEPSY', 'EPILEPSY', 'EPILEPSY', 'DELAYED BONE AGE', 'DELAYED BONE AGE', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'INTELLECTUAL DISABILITY, PROGRESSIVE', 'INTELLECTUAL DISABILITY, PROGRESSIVE', 'DECREASED TESTICULAR SIZE', 'DECREASED TESTICULAR SIZE', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'CEREBRAL CORTEX ATROPHY', 'ABNORMAL DENTITION', 'FAILURE TO THRIVE', 'FATIGUE', 'MALIGNANT MELANOMA', 'HEARING IMPAIRMENT', 'ATAXIA']",33,18,97,1387
1,0,40,0,"['EPILEPSY', 'EPILEPSY', 'ATAXIA', 'ATAXIA', 'MALIGNANT MELANOMA', 'ATAXIA']",6,3,20,690
1,0,13,0,"['FAILURE TO THRIVE', 'FAILURE TO THRIVE', 'DRY SKIN', 'DIFFUSELY THICKENED SKIN', 'FEVER', 'ALOPECIA', 'FEVER', 'MALIGNANT MELANOMA', 'MELANOCYTIC NEVUS', 'TELANGIECTASIA', 'CATARACT', 'ATAXIA']",12,10,38,2226
1,0,3,0,"['ATROPHIC SKIN', 'ATROPHIC SKIN', 'DECREASED BODY HEIGHT', 'THIN SKIN', 'ALOPECIA', 'HYPERKERATOSIS', 'HEARING LOSS, SENSORINEURAL', 'ABNORMAL DENTITION', 'ABNORMAL URINARY AMINO-ACID FINDINGS', 'FAILURE TO THRIVE', 'ENTROPION', 'TELANGIECTASIA', 'PAPILLOMA', 'ATAXIA', 'ECTROPION', 'MALIGNANT MELANOMA']",16,15,1,930
1,0,85,0,"['ABNORMAL DENTITION', 'ATAXIA', 'CROSS-EYED', 'FAILURE TO THRIVE', 'CRYPTORCHIDISM', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'CATARACT']",7,7,0,525
1,0,54,0,"['FAILURE TO THRIVE', 'FAILURE TO THRIVE', 'DECREASED BODY HEIGHT', 'FATIGUE', 'THIN SKIN', 'FEVER', 'CRYPTORCHIDISM', 'FAILURE TO THRIVE', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PAPILLOMA', 'TELANGIECTASIA']",13,9,1,1850
1,0,28,0,"['DECREASED BODY HEIGHT', 'CATARACT', 'NEUROPATHY', 'NEUROPATHY', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'BLEPHARITIS', 'PTERYGIUM', 'PTERYGIUM', 'FATIGUE', 'FEVER', 'TELANGIECTASIA', 'ATAXIA']",17,10,21,8056
1,0,5,0,"['CROSS-EYED', 'CATARACT', 'ABNORMAL TISSUE MASS', 'ABNORMALITY OF COGNITION', 'CRYPTORCHIDISM', 'ATAXIA', 'BEAUTY MARK', 'MALIGNANT MELANOMA', 'PAPILLOMA', 'ALOPECIA']",10,10,0,453
1,0,121,117,"['CROSS-EYED', 'CROSS-EYED', 'EPILEPSY', 'EPILEPSY', 'EPILEPSY', 'CONGENITAL DEAFNESS', 'CONGENITAL DEAFNESS', 'CATARACT', 'CATARACT', 'ABNORMAL TISSUE MASS', 'DECREASED BODY HEIGHT', 'FAILURE TO THRIVE', 'ATAXIA', 'BEAUTY MARK', 'FLAT, DISCOLORED AREA OF SKIN', 'CANCER OF SKIN PIGMENT CELLS', 'DELAYED BONE AGE', 'PAPILLOMA', 'HYPERKERATOSIS', 'DIFFUSELY THICKENED SKIN', 'ABNORMALITY OF COGNITION', 'ATAXIA', 'ATAXIA', 'ATAXIA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PAPILLOMA', 'PAPILLOMA', 'CATARACT', 'HYPERKERATOSIS', 'TELANGIECTASIA']",36,18,92,5807
1,0,1,0,"['CATARACT', 'CATARACT', 'CATARACT', 'CATARACT', 'CATARACT', 'CATARACT']",6,1,3,225
1,0,65,0,"['DRY SKIN', 'CROSS-EYED', 'CRYPTORCHIDISM', 'EPILEPSY', 'CONGENITAL DEAFNESS', 'MALIGNANT MELANOMA', 'SQUINT', 'CATARACT', 'ATAXIA']",9,9,0,629
1,0,59,0,"['FEVER', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'HEARING IMPAIRMENT', 'HEARING IMPAIRMENT', 'HEARING IMPAIRMENT', 'ALOPECIA', 'PAPILLOMA', 'ATAXIA']",11,6,15,2219
1,0,14,0,"['CONGENITAL DEAFNESS', 'CONGENITAL DEAFNESS', 'EPILEPSY', 'EPILEPSY', 'NEUROPATHY', 'CEREBRAL CORTEX ATROPHY', 'CROSS-EYED', 'ATAXIA', 'ATAXIA', 'SQUINT']",10,7,1,1269
1,0,9,0,"['FATIGUE', 'FEVER', 'MALIGNANT MELANOMA', 'ALOPECIA', 'ALOPECIA', 'ALOPECIA', 'NEUROPATHY']",7,5,2,1414
1,0,63,0,"['ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'THIN SKIN', 'THIN SKIN', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ATAXIA']",7,4,2,759
1,0,6,0,"['ABNORMALLY SMALL CRANIUM', 'DECREASED BODY HEIGHT', 'MALIGNANT MELANOMA']",3,3,2,394
1,0,4,0,"['ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'CROSS-EYED', 'CROSS-EYED', 'EPILEPSY', 'EPILEPSY', 'CONGENITAL DEAFNESS', 'CONGENITAL DEAFNESS', 'HYPERKERATOSIS', 'HYPERKERATOSIS', 'ALOPECIA', 'ALOPECIA', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'ERYTHEMA', 'PAPILLOMA', 'ECTROPION', 'MALIGNANT MELANOMA', 'ALOPECIA', 'NEUROPATHY']",20,12,17,543
1,0,10,0,"['ABNORMALLY SMALL CRANIUM', 'OPTIC ATROPHY', 'FAILURE TO THRIVE', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'EPILEPSY', 'PERIPHERAL NEUROPATHY', 'ATAXIA', 'ECTROPION', 'MALIGNANT MELANOMA']",9,9,0,1024
1,0,16,0,"['ATAXIA', 'ATAXIA', 'CROSS-EYED', 'CRYPTORCHIDISM', 'ABNORMALITY OF COGNITION', 'FAILURE TO THRIVE', 'EPILEPSY', 'CATARACT', 'ABNORMAL TISSUE MASS', 'HEARING LOSS, SENSORINEURAL', 'OPTIC ATROPHY', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PAPILLOMA', 'ALOPECIA']",15,13,1,781
1,0,13,0,"['DECREASED BODY HEIGHT', 'DELAYED BONE AGE', 'DECREASED TESTICULAR SIZE', 'FAILURE TO THRIVE', 'CRYPTORCHIDISM', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA']",7,6,0,1822
1,0,42,0,"['ABSENT OR DECREASED DEEP TENDON REFLEXES', 'MALIGNANT MELANOMA', 'ATAXIA']",3,3,0,1024
1,0,49,0,"['DECREASED BODY HEIGHT', 'ATROPHIC SKIN', 'ABNORMAL TISSUE MASS', 'BLEPHARITIS', 'ABNORMALLY SMALL CRANIUM', 'ALOPECIA', 'ATAXIA', 'CATARACT', 'FLAT, DISCOLORED AREA OF SKIN', 'CEREBRAL CORTEX ATROPHY', 'CROSS-EYED', 'ABNORMAL DENTITION', 'DECREASED TESTICULAR SIZE', 'OPTIC ATROPHY', 'TELANGIECTASIA OF THE SKIN', 'FAILURE TO THRIVE', 'CRYPTORCHIDISM', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'CONGENITAL DEAFNESS', 'PTERYGIA', 'HYPOPIGMENTED SKIN PATCHES', 'HYPERMELANOTIC MACULE', 'ATAXIA', 'TELANGIECTASIA', 'ENTROPION', 'ECTROPION', 'MALIGNANT MELANOMA']",27,26,0,668
1,0,46,0,"['CRYPTORCHIDISM', 'CRYPTORCHIDISM', 'ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'CATARACT', 'CATARACT', 'PTERYGIA', 'PTERYGIA', 'EPILEPSY', 'EPILEPSY', 'DECREASED TESTICULAR SIZE', 'DECREASED TESTICULAR SIZE', 'DECREASED ACTIVITY OF GONADS', 'DECREASED BODY HEIGHT', 'FAILURE TO THRIVE', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'ATAXIA']",23,12,12,1569
1,0,6,0,"['CATARACT', 'CATARACT', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'CATARACT', 'CATARACT', 'CATARACT', 'CATARACT', 'CATARACT', 'CATARACT', 'CATARACT', 'CATARACT', 'CATARACT', 'SQUINT', 'ATAXIA']",14,4,19,603
1,0,34,0,"['DECREASED BODY HEIGHT', 'ABNORMAL TISSUE MASS', 'ABNORMALLY SMALL CRANIUM', 'EPILEPSY', 'CONGENITAL DEAFNESS', 'CATARACT', 'PAPILLOMA', 'TELANGIECTASIA', 'MALIGNANT MELANOMA', 'CATARACT', 'ATAXIA']",11,10,0,671
1,0,12,0,"['DEVELOPMENTAL REGRESSION', 'ABNORMALLY SMALL CRANIUM', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'FLAT, DISCOLORED AREA OF SKIN', 'DECREASED BODY HEIGHT', 'DRY SKIN', 'ABNORMALITY OF EXTRAPYRAMIDAL MOTOR FUNCTION', 'OPTIC ATROPHY', 'FAILURE TO THRIVE', 'ATAXIA', 'EPILEPSY', 'TELANGIECTASIA', 'MALIGNANT MELANOMA', 'ATAXIA']",14,13,0,961
1,0,106,168,"['ALOPECIA', 'ALOPECIA', 'FAILURE TO THRIVE', 'FAILURE TO THRIVE', 'ATROPHIC SKIN', 'ATROPHIC SKIN', 'ENTROPION', 'THIN SKIN', 'DECREASED BODY HEIGHT', 'HYPERKERATOSIS', 'DECREASED ACTIVITY OF GONADS', 'TELANGIECTASIA OF THE SKIN', 'CATARACT', 'CANCER OF SKIN PIGMENT CELLS', 'ARTHRALGIA', 'ABNORMAL TISSUE MASS', 'ENTROPION', 'TELANGIECTASIA', 'ATAXIA']",19,15,0,1380
1,0,59,0,"['ABNORMALLY SMALL CRANIUM', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'EPILEPSY', 'MALIGNANT MELANOMA']",4,4,0,632
1,0,9,0,"['ABNORMAL TISSUE MASS', 'FATIGUE', 'CONGENITAL DEAFNESS', 'FLAT, DISCOLORED AREA OF SKIN', 'DECREASED BODY HEIGHT', 'CANCER OF SKIN PIGMENT CELLS', 'PAPILLOMA', 'ABNORMALITY OF COGNITION', 'FAILURE TO THRIVE', 'ATAXIA', 'EPILEPSY', 'HYPOPIGMENTED SKIN PATCHES', 'CATARACT', 'BEAUTY MARK', 'ATAXIA']",15,14,0,659
1,0,11,0,"['EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'PHOTOPHOBIA', 'ATAXIA', 'MALIGNANT MELANOMA']",4,4,3,660
1,0,32,0,"['EPILEPSY', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'TELANGIECTASIA', 'CATARACT', 'ATAXIA']",8,5,1,906
1,0,6,0,"['ABNORMAL TISSUE MASS', 'MALIGNANT MELANOMA']",2,2,0,789
1,0,117,117,['FATIGUE'],1,1,0,596
1,0,37,0,"['DECREASED BODY HEIGHT', 'ABNORMAL TISSUE MASS', 'CROSS-EYED', 'ABNORMALLY SMALL CRANIUM', 'DECREASED ACTIVITY OF GONADS', 'CRYPTORCHIDISM', 'CONGENITAL DEAFNESS', 'HYPOPIGMENTED SKIN PATCHES', 'CATARACT', 'MALIGNANT MELANOMA', 'ATAXIA']",11,11,0,581
1,0,19,0,"['OPTIC ATROPHY', 'DEVELOPMENTAL REGRESSION', 'ABNORMALLY SMALL CRANIUM', 'ABNORMALITY OF COGNITION', 'EPILEPSY', 'NEUROPATHY', 'ATAXIA']",7,7,0,352
1,0,10,0,"['FAILURE TO THRIVE', 'FAILURE TO THRIVE', 'EPILEPSY', 'PERIPHERAL NEUROPATHY', 'ALOPECIA', 'ATAXIA']",6,5,15,316
1,0,9,0,"['FAILURE TO THRIVE', 'MALIGNANT MELANOMA']",2,2,0,269
1,0,15,0,"['ABNORMALITY OF COGNITION', 'FATIGUE', 'HEARING LOSS, SENSORINEURAL', 'EPILEPSY', 'CATARACT', 'FATIGUE', 'NEUROPATHY', 'MENTAL IMPAIRMENT', 'MALIGNANT MELANOMA', 'SQUINT', 'ATAXIA']",11,10,75,1279
1,0,26,0,"['CONGENITAL DEAFNESS', 'NEUROPATHY', 'MALIGNANT MELANOMA', 'ATAXIA']",4,4,0,297
