,bioprocess_count
POSITIVE REGULATION OF PROSTAGLANDIN SECRETION,2
DRINKING BEHAVIOR,2
RESPONSE TO ETHER,2
POSITIVE REGULATION OF BLOOD PRESSURE,2
POSITIVE REGULATION OF BONE BIOSYNTHESIS,2
REGULATION OF SENSORY PERCEPTION OF PAIN,2
MALE MATING BEHAVIOR,2
HAEM BIOSYNTHESIS,2
DOWN REGULATION OF INTERLEUKIN-12 PRODUCTION,2
CELL FATE SPECIFICATION,2
ENDOPLASMIC RETICULUM-ASSOCIATED UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS,2
REGULATION OF RECEPTOR ACTIVITY,2
NEGATIVE REGULATION OF CELL ADHESION MEDIATED BY INTEGRIN,2
NEGATIVE REGULATION OF VASCULAR WOUND HEALING,2
"COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY",2
POSITIVE REGULATION OF CHEMOKINE SECRETION,2
RESPONSE TO YEAST,2
CELL REDOX HOMEOSTASIS,2
POSITIVE REGULATION OF PROTEIN BINDING,2
GO:0035926,2
OSTEOCLAST FUSION,2
URATE TRANSMEMBRANE TRANSPORT,2
"G PROTEIN SIGNALING, COUPLED TO CYCLIC NUCLEOTIDE SECOND MESSENGER",2
EIF2AK3-MEDIATED UNFOLDED PROTEIN RESPONSE,2
ASTROCYTE CELL MIGRATION,2
POSITIVE REGULATION OF APOPTOTIC CELL CLEARANCE,2
MYELOID CELL DEVELOPMENT,2
POSITIVE REGULATION OF TISSUE REMODELING,2
REGULATION OF RESTING T CELL PROLIFERATION,2
POSITIVE REGULATION OF DENDRITIC SPINE DEVELOPMENT,2
POSITIVE REGULATION OF RECEPTOR BIOSYNTHETIC PROCESS,2
DOWN REGULATION OF EPITHELIAL CELL DIFFERENTIATION,2
IL-12-MEDIATED SIGNALING PATHWAY,2
DOWN REGULATION OF SMOOTH MUSCLE CELL PROLIFERATION,2
POSITIVE REGULATION OF NITROGEN COMPOUND METABOLIC PROCESS,2
POSITIVE REGULATION OF KILLING OF CELLS OF OTHER ORGANISM,2
REGULATION OF GAMMA-INTERFERON-MEDIATED SIGNALING PATHWAY,2
POSITIVE REGULATION OF VITAMIN D BIOSYNTHETIC PROCESS,2
NERVE TISSUE INFLAMMATORY RESPONSE,2
DOWN REGULATION OF BETA-AMYLOID CLEARANCE,2
ACTIVATION OF OXIDATIVE METABOLIC PROCESS,2
POSITIVE REGULATION OF EXOSOMAL SECRETION,2
CELL-CELL SIGNALING INVOLVED IN QUORUM SENSING,2
MYOGENESIS,2
POSITIVE REGULATION OF MYOTUBE DIFFERENTIATION,2
STRIATED MUSCLE CELL DIFFERENTIATION,2
3'-UNTRANSLATED REGION-MEDIATED MRNA STABILIZATION,2
CELLULAR RESPONSE TO VIRUS,2
POSITIVE REGULATION OF MYOBLAST FUSION,2
POSITIVE REGULATION OF METALLOPEPTIDASE ACTIVITY,2
T-HELPER 2 CELL ACTIVATION,2
APOPTOSIS OF MYELOID CELLS,2
LYMPHOCYTE AGGREGATION,2
REGULATION OF IL-4 PRODUCTION,2
FIBROBLAST CELL MIGRATION,2
LUNG FIELD SPECIFICATION,2
POSITIVE REGULATION OF ANTIVIRAL RESPONSE BY HOST,2
DOWN REGULATION OF ACUTE INFLAMMATORY RESPONSE,2
DOWN REGULATION OF CHRONIC INFLAMMATORY RESPONSE,2
NEGATIVE REGULATION OF EPITHELIAL CELL MIGRATION,2
ACTIVATION OF JAK PROTEIN,2
REGULATION OF CLASS SWITCH RECOMBINATION,2
POSITIVE REGULATION OF MONONUCLEAR CELL MIGRATION,2
NEGATIVE REGULATION OF NEUROINFLAMMATORY RESPONSE,2
POSITIVE REGULATION OF AMYLOID-BETA CLEARANCE,2
DOWN REGULATION OF COMPLEMENT-DEPENDENT CYTOTOXICITY,2
REGULATION OF CARDIAC CONTRACTION,2
MUSCLE FILAMENT SLIDING,2
SARCOMERE ALIGNMENT,2
CARDIAC VENTRICLE MUSCLE MORPHOGENESIS,2
SENSORY PROCESSING,2
RESPONSE TO PEPTIDE,2
ANTIBIOTIC SUSCEPTIBILITY/RESISTANCE,2
RETINOID METABOLIC PROCESS,2
PYRIMIDINE DEOXYRIBONUCLEOTIDE BREAKDOWN,2
SIDEROPHORE ANABOLISM,2
PHOTORESPIRATION,2
NEURON REMODELING,2
COMPLEMENT-DEPENDENT CYTOTOXICITY,2
COMPLEMENT-DEPENDENT SYNAPSE PRUNING,2
BINOCULAR VISION DEVELOPMENT,2
CELL SURFACE RECEPTOR LINKED SIGNAL TRANSDUCTION INVOLVED IN CELL-CELL SIGNALING,2
T CELL ACTIVATION VIA T CELL RECEPTOR CONTACT WITH ANTIGEN BOUND TO MHC MOLECULE ON ANTIGEN PRESENTING CELL,2
DOWN REGULATION OF ANTIVIRAL RESPONSE,2
VIRAL PROTEIN ANABOLISM,2
OSTEOBLAST PROLIFERATION,2
"1ALPHA,25(OH)2D3 BIOSYNTHESIS",2
REGULATION OF BONE RESORPTION,2
CHEMOKINE (C-X-C MOTIF) LIGAND 2 PRODUCTION,2
RESPONSE TO LIPID,2
POSITIVE REGULATION OF CYTOKINE PRODUCTION,2
DOWN REGULATION OF CYTOKINE PRODUCTION DURING IMMUNE RESPONSE,2
POSITIVE REGULATION OF HUMORAL IMMUNE RESPONSE MEDIATED BY CIRCULATING IMMUNOGLOBULIN,2
RETENTION OF TRIACYLGLYCEROL,2
POSITIVE REGULATION OF PROGRAMMED CELL DEATH,2
DOWN REGULATION OF OSTEOBLAST DIFFERENTIATION,2
DOWN REGULATION OF GLUCOSE IMPORT,2
REGULATION OF SYNAPSE ORGANISATION,2
REGULATION OF ANTIBODY SECRETION,2
"REGULATION OF SYNAPTIC TRANSMISSION, GLUTAMATERGIC",2
POSITIVE REGULATION OF CALCINEURIN-NFAT SIGNALING CASCADE,2
DD-MEDIATED COMPLEX ASSEMBLY,2
POSITIVE REGULATION OF PODOSOME ASSEMBLY,2
APOPTOSIS OF ENDOTHELIAL CELLS,2
REGULATION OF ESTABLISHMENT OF ENDOTHELIAL BARRIER,2
POSITIVE REGULATION OF PROTEIN LOCALISATION AT CELL SURFACE,2
POSITIVE REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY,2
HEPATIC STELLATE CELL ACTIVATION,2
ESTABLISHMENT AND MAINTENANCE OF RNA LOCALIZATION,2
REGULATION OF SKELETAL MUSCLE HYPERTROPHY,2
SKELETAL MUSCLE ATROPHY,2
MRNA BREAKDOWN,2
MYOBLAST CELL DIFFERENTIATION,2
HEXOSE MONOPHOSPHATE PATHWAY,2
REGULATION OF GLUCOSE IMPORT,2
AUTOPHAGY OF PEROXISOME,2
DETECTION OF APOPTOTIC CELL,2
CELL MIGRATION INVOLVED IN SPROUTING ANGIOGENESIS,2
REGULATION OF GLYCOGEN ANABOLISM,2
APOPTOTIC MITOCHONDRIAL CHANGES,2
POSITIVE REGULATION OF FIBROBLAST CELL MIGRATION,2
REGULATION OF NEURON PROJECTION DEVELOPMENT,2
SPINAL CORD DEVELOPMENT,2
HYALURONAN METABOLIC PROCESS,2
ENDOCRINE PANCREAS DEVELOPMENT,2
POSITIVE REGULATION OF PROTEASOMAL UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS,2
RESPONSE TO FLUID SHEAR STRESS,2
POSITIVE REGULATION OF ADIPOCYTE CELL DIFFERENTIATION,2
POSITIVE REGULATION OF EGF RECEPTOR SIGNALING PATHWAY,2
EXECUTION PHASE OF APOPTOSIS,2
DOWN REGULATION OF LEUKOCYTE ADHESION,2
GO:0072643,2
T CELL ACTIVATION DURING IMMUNE RESPONSE,2
NATURAL KILLER CELL ACTIVATION DURING IMMUNE RESPONSE,2
RESPONSE TO ANTIDEPRESSANT,2
EPITHELIAL CELL DIFFERENTIATION FROM MESENCHYMAL CELL,2
REGULATION OF IL-6 PRODUCTION,2
APOPTOSIS OF NEUTROPHILS,2
ANTIBODY PRODUCTION,2
HEPATIC IMMUNE RESPONSE,2
NEUTROPHIL MEDIATED IMMUNITY,2
REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR PRODUCTION,2
NEURON PROJECTION DEVELOPMENT,2
RESPONSE TO PEPTIDOGLYCAN,2
MAINTENANCE OF BBB,2
T FOLLICULAR HELPER CELL DIFFERENTIATION,2
NEURON CELLULAR HOMEOSTASIS,2
GLUCAGON SECRETION,2
T-HELPER 17 CELL FATE COMMITMENT,2
POSITIVE REGULATION OF APOPTOTIC DNA FRAGMENTATION,2
REGULATION OF MICROGLIAL CELL ACTIVATION,2
NEGATIVE REGULATION OF PRI-MIRNA PROCESSING,2
BRANCHING INVOLVED IN BLOOD VESSEL MORPHOGENESIS,2
POSITIVE REGULATION OF RECEPTOR INTERNALIZATION,2
EPITHELIAL CELL DIFFERENTIATION,2
POSITIVE REGULATION OF PROTEIN AMINO ACID AUTOPHOSPHORYLATION,2
ACTIVATION OF PROTEIN KINASE ACTIVITY,2
EYE PHOTORECEPTOR CELL DEVELOPMENT,2
POSITIVE REGULATION OF VASCULAR PERMEABILITY,2
BRANCHING MORPHOGENESIS OF AN EPITHELIAL TUBE,2
POSITIVE REGULATION OF AXON EXTENSION INVOLVED IN AXON GUIDANCE,2
POSITIVE REGULATION OF POSITIVE CHEMOTAXIS,2
VASCULAR WOUND HEALING,2
DOPAMINERGIC NEURON DIFFERENTIATION,2
COMMISSURAL NEURON AXON GUIDANCE,2
POSITIVE REGULATION OF PROTEIN KINASE C SIGNALING,2
POSITIVE REGULATION OF PEPTIDYL-TYROSINE AUTOPHOSPHORYLATION,2
ACTIVATION OF BLOOD VESSEL ENDOTHELIAL CELL PROLIFERATION DURING SPROUTING ANGIOGENESIS,2
SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR,2
VASCULAR ASSOCIATED SMOOTH MUSCLE CELL PROLIFERATION,2
FORMATION OF MESODERMAL CLUSTERS,2
B CELL LINEAGE COMMITMENT,2
RRNA BIOSYNTHESIS,2
POSITIVE REGULATION OF CARDIAC MUSCLE CELL APOPTOTIC PROCESS,2
CEREBELLUM DEVELOPMENT,2
MITOTIC CELL CYCLE G1/S TRANSITION DNA DAMAGE CHECKPOINT,2
T CELL DEVELOPMENT IN THYMUS,2
POSITIVE REGULATION OF PROTEIN EXPORT FROM CELL NUCLEUS,2
CIRCADIAN BEHAVIOR,2
PROTEIN TETRAMER ASSEMBLY,2
ARREST OF MITOTIC CELL CYCLE PROGRESSION,2
INTRINSIC APOPTOTIC SIGNALING PATHWAY BY P53 CLASS MEDIATOR,2
JUN PHOSPHORYLATION,2
REGULATION OF PROTEIN LOCALISATION,2
PHOSPHOLIPID METABOLIC PROCESS,2
SMOOTH MUSCLE HYPERPLASIA,2
RECEPTOR CLUSTERING,2
HAIR FOLLICLE DEVELOPMENT,2
OSMOTIC RESPONSE,2
SALIVARY GLAND MORPHOGENESIS,2
MAGNESIUM ION HOMEOSTASIS,2
TONGUE DEVELOPMENT,2
EPITHELIAL FOLDING,2
REGULATION OF ERK CASCADE,2
CELLULAR RESPONSE TO DEXAMETHASONE STIMULUS,2
POSITIVE REGULATION OF BLOOD VESSEL DIAMETER,2
DOWN REGULATION OF EGF RECEPTOR FAMILY SIGNALING PATHWAY,2
TGF-B1 PRODUCTION,2
HEART VALVE MORPHOGENESIS,2
AORTIC VALVE MORPHOGENESIS,2
MACROPHAGE DERIVED FOAM CELL DIFFERENTIATION,2
POSITIVE REGULATION OF PATHWAY-RESTRICTED SMAD PROTEIN PHOSPHORYLATION,2
POSITIVE REGULATION OF BONE MINERALIZATION,2
MEMBRANE PROTEIN INTRACELLULAR DOMAIN PROTEOLYSIS,2
DOWN REGULATION OF PROGRESSION THROUGH CELL CYCLE,2
LYMPH GLAND DEVELOPMENT,2
DOWN REGULATION OF SKELETAL MUSCLE DEVELOPMENT,2
POSITIVE REGULATION OF CHEMOTAXIS,2
REGULATION OF DENDRITIC CELL CYTOKINE PRODUCTION,2
IFNG PRODUCTION,2
ACTIVATION OF REACTIVE OXYGEN SPECIES GENERATION,2
POSITIVE REGULATION OF CELLULAR RESPONSE TO M-CSF STIMULUS,2
POSITIVE REGULATION OF MATRIX METALLOPEPTIDASE SECRETION,2
TEMPERATURE HOMEOSTASIS,2
SEXUAL REPRODUCTION,2
CELLULAR RESPONSE TO HORMONE STIMULUS,2
IL-21-MEDIATED SIGNALING PATHWAY,2
MRNA TRANSCRIPTION BY RNA POLYMERASE II,2
REGULATION OF FEEDING BEHAVIOR,2
IL-27-MEDIATED SIGNALING PATHWAY,2
IL-35-MEDIATED SIGNALING PATHWAY,2
POSTSYNAPSE TO NUCLEUS SIGNALING PATHWAY,2
NEGATIVE REGULATION OF NEURON CHEMOTAXIS,2
ABERRANT RNA CATABOLIC PROCESS,2
FATTY ACID TRANSPORT,2
SALIVA SECRETION,2
TRIACYLGLYCEROL BIOSYNTHESIS,2
HISTONE H4 ACETYLATION,2
HISTONE H2A ACETYLATION,2
MITOCHONDRIAL PROTEIN ANABOLISM,2
CARTILAGE HOMEOSTASIS,2
REGULATION OF SYNAPTIC PLASTICITY,2
REGULATION OF ESTABLISHMENT OF PROTEIN LOCALISATION IN PLASMA MEMBRANE,2
REGULATION OF CELLULAR RESPIRATION,2
NEGATIVE REGULATION OF ANOIKIS,2
DISRUPTION BY HOST OF SYMBIONT CELLS,2
RESPONSE TO BACTERIA ASSOCIATED MOLECULE,2
POSITIVE REGULATION OF B CELL APOPTOTIC PROCESS,2
RESPONSE TO INACTIVITY,2
DOWN REGULATION OF NITRIC OXIDE BIOSYNTHETIC PROCESS,2
DOWN REGULATION OF MHC CLASS II BIOSYNTHETIC PROCESS,2
REGULATION OF COMPLEMENT-DEPENDENT CYTOTOXICITY,2
ACTIN CYTOSKELETON ORGANISATION,2
REGULATION OF ACTIN CYTOSKELETON ORGANISATION,2
REGULATION OF CELL ADHESION MEDIATED BY INTEGRIN,2
REELER-MEDIATED SIGNALING PATHWAY,2
REGULATION OF GTPASE ACTIVITY,2
SEPTATION INITIATION NETWORK,2
RESPONSE TO MEDIUM WAVE ULTRAVIOLET LIGHT STIMULUS,2
DOWN REGULATION OF INSULIN RECEPTOR SIGNALING PATHWAY,2
NOD2 SIGNALING PATHWAY,2
CELLULAR RESPONSE TO PEPTIDOGLYCAN,2
CELLULAR RESPONSE TO IL-6,2
DOWN REGULATION OF PRI-MIRNA TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER,2
CHROMOSOME ORGANISATION,2
CHOLESTEROL EFFLUX,2
HISTONE H3 K27 METHYLATION,2
DOWN REGULATION OF CAPERASE ACTIVITY,2
NODULATION,2
HISTONE H3 K36 METHYLATION,2
URETERIC BUD DEVELOPMENT,2
PROTEIN TARGETING TO PEROXISOME,2
RESPONSE TO OZONE,2
RESPONSE TO LEAD ION,2
RESPONSE TO HYPEROXIA,2
RESPONSE TO LIGHT STIMULUS,2
SKELETAL MUSCLE CELL DIFFERENTIATION,2
POSITIVE REGULATION OF CELLULAR ANABOLISM,2
POSITIVE REGULATION OF HOMOTYPIC CELL-CELL ADHESION,2
POSITIVE REGULATION OF VIRAL GENOME REPLICATION,2
POSITIVE REGULATION OF INNATE IMMUNE RESPONSE,2
DOWN REGULATION OF G-PROTEIN COUPLED RECEPTOR PROTEIN SIGNALING PATHWAY,2
POSITIVE REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY,2
POSITIVE REGULATION OF NATURAL KILLER CELL CHEMOTAXIS,2
CD40 SIGNALING PATHWAY,2
"PHAGOCYTOSIS, ENGULFMENT",2
INTEGRIN-MEDIATED SIGNALING PATHWAY,2
FOREBRAIN DEVELOPMENT,2
"POSITIVE REGULATION OF (5Z,13E)-(15S)-9ALPHA,11ALPHA-EPIDIOXY-15-HYDROXYPROSTA-5,13-DIENOATE E-ISOMERASE ACTIVITY",2
C-X-C CHEMOKINE RECEPTOR CXCR4 SIGNALING PATHWAY,2
INDUCTIVE CELL MIGRATION,2
EPITHELIAL CELL DEVELOPMENT,2
TELENCEPHALON CELL MIGRATION,2
CXCL12-ACTIVATED CXCR4 SIGNALING PATHWAY,2
DETECTION OF TEMPERATURE STIMULUS INVOLVED IN SENSORY PERCEPTION OF PAIN,2
DETECTION OF MECHANICAL STIMULUS INVOLVED IN SENSORY PERCEPTION OF PAIN,2
POSITIVE REGULATION OF DENDRITE EXTENSION,2
RESPONSE TO ULTRASOUND,2
ELASTIN BREAKDOWN,2
ENDODERM CELL DIFFERENTIATION,2
POSITIVE REGULATION OF KERATINOCYTE MIGRATION,2
RESPONSE TO AMYLOID-BETA,2
ECLOSION,2
INTRACELLULAR TRANSPORT,2
AGE-RELATED RESISTANCE,2
PPI,2
HARD PALATE DEVELOPMENT,2
EPITHELIUM REGENERATION,2
DEVELOPMENTAL INDUCTION,2
MICROGLIA DEVELOPMENT,2
PALATUM MOLLE DEVELOPMENT,2
DEFINITIVE ERYTHROCYTE DIFFERENTIATION,2
MAMMARY GLAND DEVELOPMENT,2
CARDIAC CONTRACTION,2
NEUROTRANSMITTER METABOLIC PROCESS,2
SHORT-TERM MEMORY,2
CARBOHYDRATE UTILIZATION,2
MELANOCYTE MIGRATION,2
GLUTAMINE TRANSPORT,2
PYRUVATE OXIDATION,2
HAIR CYCLE,2
ETHER LIPID ANABOLISM,2
REGULATION OF HUMORAL IMMUNE RESPONSE,2
LUNG GROWTH,2
BILE ACID METABOLIC PROCESS,2
MENSTRUAL CYCLE,2
ANDROGEN METABOLIC PROCESS,2
DEFINITIVE HAEMATOPOIESIS,2
RESPONSE TO IL-18,2
IMMUNE SYSTEM DEVELOPMENT,2
ZYGOTENE,2
FIN REGENERATION,2
PEPTIDE SECRETION,2
2-HYDROXYPROPANOATE METABOLIC PROCESS,2
DOPAMINE TRANSPORT,2
GONADOTROPHIN SECRETION,2
NAD (OXIDIZED) BIOSYNTHESIS,2
SEED DEVELOPMENT,2
RANKL PRODUCTION,2
OLIGODENDROCYTE CELL DEVELOPMENT,2
REGULATION OF MAST CELL DEGRANULATION,2
EPIDERMIS DEVELOPMENT,2
CORNIFICATION,2
GO:0072640,2
REGULATORY T CELL DEVELOPMENT,2
DOPAMINE ANABOLISM,2
CATECHOLAMINE ANABOLISM,2
KERATINOCYTE PROLIFERATION,2
GLYCINE TRANSPORT,2
SYSTEM DEVELOPMENT,2
ESTABLISHMENT OF LYMPHOCYTE POLARITY,2
DOPAMINE ANABOLISM FROM TYROSINE,2
HERBICIDE SUSCEPTIBILITY/RESISTANCE,2
CELLULAR RESPONSE TO ALKALOID,2
GO:0072620,2
S-ADENOSYL METHIONINE TRANSPORT,2
RESTING T CELL PROLIFERATION,2
TRYPTOPHAN BREAKDOWN,2
AMINE ANABOLISM,2
IMMUNE CELL MEDIATED CELL DEATH,2
GLUTAMATE SECRETION,2
MITOCHONDRIA DEPOLARIZATION,2
MICROTUBULE DEPOLYMERIZATION,2
ODONTOGENESIS OF DENTIN-CONTAINING TOOTH,2
CELL PH REGULATION,2
CELLULAR RESPONSE TO FLUID SHEAR STRESS,2
REGULATION OF FATTY ACID OXIDATION,2
HCY METABOLIC PROCESS,2
METHIONINE ANABOLISM,2
INSEMINATION,2
LIPOPROTEIN TRANSPORT,2
POSITIVE REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC SIGNALING PATHWAY,2
AGGLUTINATION,2
RESPONSE TO IONISING RADIATION,2
MEMBRANE TO MEMBRANE DOCKING,2
CELLULAR RESPONSE TO NUTRIENT LEVELS,2
ESTABLISHMENT OF ENDOTHELIAL INTESTINAL BARRIER,2
CYTOKINE SECRETION DURING IMMUNE RESPONSE,2
POSITIVE REGULATION OF TYPE 2 IMMUNE RESPONSE,2
CELLULAR RESPONSE TO MURAMYL DIPEPTIDE,2
RELEASE OF SEQUESTERED CALCIUM ION BY SARCOPLASMIC RETICULUM INTO CYTOSOL,2
BIOLOGICAL SIGNALING,2
REGULATION OF CDK ACTIVITY,2
RESPONSE TO ORGANIC NITROGEN,2
ARSENATE SENSITIVITY/RESISTANCE,2
INTESTINAL EPITHELIAL CELL MATURATION,2
FUCOSYLATION,2
MONOCYTE AGGREGATION,2
T-HELPER 1 CELL FATE COMMITMENT,2
POSITIVE REGULATION OF NEURON MATURATION,2
POSITIVE REGULATION OF TRANSCRIPTION BY RNA POLYMERASE III,2
POSITIVE REGULATION OF CELL GROWTH INVOLVED IN CARDIAC MUSCLE CELL DEVELOPMENT,2
GO:0072613,2
CELLULAR RESPONSE TO HEMATOPOIETIC GROWTH FACTOR KL,2
HEPARAN SULFATE BIOSYNTHETIC PROCESS,2
RECEPTOR RECYCLING,2
LYMPHOID PROGENITOR CELL DIFFERENTIATION,2
GLYCOSPHINGOLIPID METABOLIC PROCESS,2
POSITIVE REGULATION OF PSEUDOPODIUM ASSEMBLY,2
TLR9 SIGNALING PATHWAY,2
RECEPTOR INTERNALIZATION,2
POSITIVE REGULATION OF NEUTROPHIL CHEMOTAXIS,2
ALUMINIUM ION TRANSPORT,2
HAEMOGLOBIN BIOSYNTHESIS,2
OXYGEN TRANSPORT,2
RETINA HOMEOSTASIS,2
SYNAPTIC VESICLE EXOCYTOSIS,2
NEUROTRANSMITTER RELEASE,2
REGULATED EXOCYTOSIS,2
DNA DAMAGE INDUCED PROTEIN PHOSPHORYLATION,2
ARACHIDONIC ACID METABOLIC PROCESS,2
SODIUM CHANNEL AUXILIARY PROTEIN ACTIVITY,2
MULTIVESICULAR BODY ASSEMBLY,2
RESPONSE TO 1-OLEOYL LYSOPHOSPHATIDIC ACID,2
REGULATION OF RECEPTOR SIGNALING PATHWAY VIA JAK-STAT,2
POSITIVE REGULATION OF PROTEIN DEGRADATION TAGGING ACTIVITY,2
POSITIVE REGULATION OF TLR SIGNALING PATHWAY,2
CELLULAR RESPONSE TO EXOGENOUS DOUBLE-STRANDED RNA,2
RESPONSE TO MAGNESIUM ION,2
TLR2:TLR1 SIGNALING PATHWAY,2
TLR2:TLR6 SIGNALING PATHWAY,2
CELLULAR RESPONSE TO DIACYL BACTERIAL LIPOPEPTIDE,2
CELLULAR RESPONSE TO TRIACYL BACTERIAL LIPOPEPTIDE,2
CELL ORGANISATION,2
LEYDIG CELL DIFFERENTIATION,2
POSITIVE REGULATION OF IGF RECEPTOR SIGNALING PATHWAY,2
PROSTATE GLAND GROWTH,2
CELLULAR RESPONSE TO ESTROGEN STIMULUS,2
AMINOACYL-TRNA BIOSYNTHESIS,2
N RECEPTOR TARGET TRANSCRIPTION FACTOR ACTIVATION,2
EMBRYONIC DIGIT MORPHOGENESIS,2
REGULATION OF MYELOID CELL DIFFERENTIATION,2
BETA-CATENIN-TCF COMPLEX ASSEMBLY,2
POSITIVE REGULATION OF TGF-B PRODUCTION,2
POSITIVE REGULATION OF COLONY STIMULATING FACTOR 3 (GRANULOCYTE) PRODUCTION,2
GOLGI ORGANISATION,2
ACTIVATION OF E3,2
BRAIN RENIN-ANGIOTENSIN SYSTEM,2
APPETITE SUPPRESSION,2
PROSTAGLANDIN SECRETION,2
BONE MINERALIZATION INVOLVED IN BONE MATURATION,2
INHIBITION OF APPETITE BY LEPTIN SIGNALING,2
ELASTIN METABOLIC PROCESS,2
INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS,2
EOSINOPHIL DEGRANULATION,2
POSITIVE REGULATION OF MICROGLIAL CELL MIGRATION,2
CELLULAR DNA METABOLISM,2
ENUCLEATION,2
PERICLINAL CELL DIVISION,2
FLAVONOID ANABOLISM,2
PHENYLPROPANOID ANABOLISM,2
SULFATE REDUCTION,2
ENDOPLASMIC RETICULUM UNFOLDED PROTEIN RESPONSE,2
REGULATION OF CATALYTIC ACTIVITY,2
REGULATION OF HR,2
RESPONSE TO ADENOSINE 5'-TRIPHOSPHATE,2
POSITIVE REGULATION OF NEURON DIFFERENTIATION,2
DOWN REGULATION OF PHAGOCYTOSIS,2
POSITIVE REGULATION OF DOPAMINE SECRETION,2
NEUROPEPTIDE SIGNALING PATHWAY,2
"DNA BREAKDOWN, EXONUCLEOLYTIC",2
SAC,2
NECTAR PRODUCTION,2
STARCH BREAKDOWN,2
CHLOROPHYLL BREAKDOWN,2
PROPHASE,2
SEED COAT DEVELOPMENT,2
RESPONSE TO CARBOHYDRATE,2
HISTAMINE SECRETION,2
PHOTOPROTECTION,2
NEGATIVE REGULATION OF MITOCHONDRIAL MEMBRANE POTENTIAL,2
POSITIVE REGULATION OF NEURON PROJECTION DEVELOPMENT,2
INNER EAR MORPHOGENESIS,2
REGULATION OF BRANCHING INVOLVED IN SALIVARY GLAND MORPHOGENESIS BY MESENCHYMAL-EPITHELIAL SIGNALING,2
REGULATION OF TYPE I IFN PRODUCTION,2
IFIH1 SIGNALING PATHWAY,2
POSITIVE REGULATION OF TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY,2
HORMONE SECRETION,2
POSITIVE REGULATION OF SIGNAL TRANSDUCTION,2
EPITHELIAL FLUID TRANSPORT,2
PALATUM DEVELOPMENT,2
FACE MORPHOGENESIS,2
CELL ADHESION RECEPTOR INHIBITOR ACTIVITY,2
RESPONSE TO KETAMINE,2
PROSTANOID ANABOLISM,2
CYCLOOXYGENASE PATHWAY,2
POSITIVE REGULATION OF PROSTAGLANDIN ANABOLISM,2
RESPONSE TO ANGIOTENSIN,2
MITOTIC CELL CYCLE SPINDLE ASSEMBLY CHECKPOINT,2
REGULATION OF TELOMERASE ACTIVITY,2
C1317175,2
PEPTIDE MODIFICATION,2
AMYLOID-BETA METABOLIC PROCESS,2
ANION TRANSPORT,2
SIALIC ACID TRANSPORT,2
HYDROGEN ION TRANSMEMBRANE TRANSPORT,2
REGULATION OF CELL-MATRIX ADHESION,2
PLASMID RECOMBINATION,2
POLYKETIDE METABOLIC PROCESS,2
NEURAL CREST CELL MIGRATION,2
POSITIVE REGULATION OF MELANOCYTE DIFFERENTIATION,2
POSITIVE REGULATION OF RAS PROTEIN SIGNAL TRANSDUCTION,2
POSITIVE REGULATION OF MACROPHAGE DERIVED FOAM CELL DIFFERENTIATION,2
NEUTROPHIL CELL DIFFERENTIATION,2
ANTIBODY-MEDIATED IMMUNE RESPONSE,2
IL-17-MEDIATED SIGNALING PATHWAY,2
MYELOID CELL HOMEOSTASIS,2
REGULATION OF NITROGEN UTILIZATION,2
CALCIUM ION HOMEOSTASIS IN ENDOPLASMIC RETICULUM,2
REGULATION OF MITOCHONDRIAL MEMBRANE POTENTIAL,2
RETINA DEVELOPMENT IN CAMERA-STYLE EYE,2
VAGINA DEVELOPMENT,2
MITOCHONDRION MORPHOGENESIS,2
ACTIVATION OF ER UNFOLDED PROTEIN RESPONSE,2
POSITIVE REGULATION OF BODY GROWTH,2
POSITIVE REGULATION OF HORMONE SECRETION,2
HORMONE BREAKDOWN,2
REGULATION OF HEMATOPOIETIC STEM CELL PROLIFERATION,2
DOWN REGULATION OF GAP JUNCTION ASSEMBLY,2
C1152517,2
POSITIVE REGULATION BY HOST OF VIRAL TRANSCRIPTION,2
REGULATION OF ATP:TAU-PROTEIN O-PHOSPHOTRANSFERASE ACTIVITY,2
C1326160,2
GO:0072619,2
NEGATIVE THYMIC T CELL SELECTION,2
DOWN REGULATION OF T CELL CYTOKINE PRODUCTION,2
REGULATION OF FRIZZLED SIGNALING PATHWAY,2
DOWN REGULATION OF INTERLEUKIN-10 PRODUCTION,2
POSITIVE REGULATION OF TGF-B1 PRODUCTION,2
POSITIVE REGULATION OF IMMATURE T CELL PROLIFERATION IN THYMUS,2
DOWN REGULATION OF HISTONE ACETYLATION,2
DOWN REGULATION OF ACTIVATED T CELL PROLIFERATION,2
PYRUVATE DEHYDROGENASE BYPASS,2
GLUTATHIONE METABOLIC PROCESS,2
