,bioprocess_count
INNATE IMMUNE RESPONSE IN MUCOSA,2
POSITIVE REGULATION OF ANTIVIRAL RESPONSE BY HOST,2
DOWN REGULATION OF CHRONIC INFLAMMATORY RESPONSE,2
NEGATIVE REGULATION OF EPITHELIAL CELL MIGRATION,2
REGULATION OF PHOSPHORYLATION,2
ACTIVATION OF JAK PROTEIN,2
REGULATION OF CLASS SWITCH RECOMBINATION,2
POSITIVE REGULATION OF MONONUCLEAR CELL MIGRATION,2
NEGATIVE REGULATION OF NEUROINFLAMMATORY RESPONSE,2
POSITIVE REGULATION OF AMYLOID-BETA CLEARANCE,2
POSITIVE REGULATION OF ATP ANABOLISM,2
REGULATION OF MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION,2
REGULATION OF CARDIAC CONTRACTION,2
MUSCLE FILAMENT SLIDING,2
CARDIAC VENTRICLE MUSCLE MORPHOGENESIS,2
SENSORY PROCESSING,2
INSTRUMENTAL CONDITIONING,2
RETINOID METABOLIC PROCESS,2
POSITIVE REGULATION OF BINDING,2
RNA PROCESSING,2
PURINE NUCLEOTIDE BREAKDOWN,2
PYRIMIDINE DEOXYRIBONUCLEOTIDE BREAKDOWN,2
CHLOROPHYLL FLUORESCENCE,2
NEURON REMODELING,2
POSITIVE REGULATION OF G PROTEIN COUPLED RECEPTOR PROTEIN SIGNALING PATHWAY,2
COMPLEMENT-DEPENDENT CYTOTOXICITY,2
COMPLEMENT-DEPENDENT SYNAPSE PRUNING,2
BINOCULAR VISION DEVELOPMENT,2
CELL SURFACE RECEPTOR LINKED SIGNAL TRANSDUCTION INVOLVED IN CELL-CELL SIGNALING,2
SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION,2
T CELL ACTIVATION VIA T CELL RECEPTOR CONTACT WITH ANTIGEN BOUND TO MHC MOLECULE ON ANTIGEN PRESENTING CELL,2
ANTIBODY PRODUCTION DURING IMMUNE RESPONSE,2
DOWN REGULATION OF ANTIVIRAL RESPONSE,2
EXIT FROM MITOSIS,2
ETHENE BIOSYNTHESIS,2
CELLULAR RESPONSE TO BACTERIA ASSOCIATED MOLECULE,2
POSITIVE REGULATION OF EXECUTION PHASE OF APOPTOSIS,2
CARTILAGE CELL PROLIFERATION,2
LEUKOTRIENE ANABOLISM,2
VIRAL PROTEIN ANABOLISM,2
OSTEOBLAST PROLIFERATION,2
"1ALPHA,25(OH)2D3 BIOSYNTHESIS",2
REGULATION OF BONE RESORPTION,2
REGULATION OF BONE REMODELING,2
DNA REPLICATION INITIATION,2
CHEMOKINE (C-X-C MOTIF) LIGAND 2 PRODUCTION,2
NATURAL KILLER T CELL ACTIVATION,2
DOWN REGULATION OF CYTOKINE PRODUCTION DURING IMMUNE RESPONSE,2
POSITIVE REGULATION OF HUMORAL IMMUNE RESPONSE MEDIATED BY CIRCULATING IMMUNOGLOBULIN,2
RETENTION OF TRIACYLGLYCEROL,2
POSITIVE REGULATION OF JUN KINASE ACTIVITY,2
DOWN REGULATION OF GLUCOSE IMPORT,2
REGULATION OF SYNAPSE ORGANISATION,2
REGULATION OF ANTIBODY SECRETION,2
"REGULATION OF SYNAPTIC TRANSMISSION, GLUTAMATERGIC",2
POSITIVE REGULATION OF CALCINEURIN-NFAT SIGNALING CASCADE,2
APOPTOSIS OF ENDOTHELIAL CELLS,2
PROTEIN LOCALISATION IN PLASMA MEMBRANE,2
POSITIVE REGULATION OF PROTEIN LOCALISATION AT CELL SURFACE,2
POSITIVE REGULATION OF CERAMIDE ANABOLISM,2
POSITIVE REGULATION OF BLOOD MICROPARTICLE FORMATION,2
POSITIVE REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY,2
CELLULAR MEMBRANE FUSION,2
IFN-BETA PRODUCTION,2
SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR,2
VASCULAR ASSOCIATED SMOOTH MUSCLE CELL PROLIFERATION,2
B CELL LINEAGE COMMITMENT,2
RRNA BIOSYNTHESIS,2
POSITIVE REGULATION OF CARDIAC MUSCLE CELL APOPTOTIC PROCESS,2
BONE MARROW DEVELOPMENT,2
PROTEIN TETRAMER ASSEMBLY,2
DOWN REGULATION OF TELOMERASE ACTIVITY,2
CELLULAR RESPONSE TO GERMICIDAL ULTRAVIOLET LIGHT STIMULUS,2
ARREST OF MITOTIC CELL CYCLE PROGRESSION,2
INTRINSIC APOPTOTIC SIGNALING PATHWAY BY P53 CLASS MEDIATOR,2
CELLULAR RESPONSE TO ACTINOMYCIN D,2
ACTIVATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO ER STRESS,2
SPROUTING ANGIOGENESIS,2
CELL MIGRATION INVOLVED IN SPROUTING ANGIOGENESIS,2
POSITIVE REGULATION OF IMMUNE CELL MIGRATION,2
CORONARY VEIN MORPHOGENESIS,2
POSITIVE REGULATION OF ENDOTHELIAL CELL MIGRATION,2
POSITIVE REGULATION OF PROTEIN AMINO ACID AUTOPHOSPHORYLATION,2
POSITIVE REGULATION OF ENDOTHELIAL CELL CHEMOTAXIS BY VEGF-ACTIVATED VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY,2
EYE PHOTORECEPTOR CELL DEVELOPMENT,2
POSITIVE REGULATION OF VASCULAR PERMEABILITY,2
POSITIVE REGULATION OF POSITIVE CHEMOTAXIS,2
POSITIVE REGULATION OF FOCAL ADHESION ASSEMBLY,2
CARDIAC VASCULAR SMOOTH MUSCLE CELL DEVELOPMENT,2
CORONARY ARTERY MORPHOGENESIS,2
VASCULAR WOUND HEALING,2
DOPAMINERGIC NEURON DIFFERENTIATION,2
COMMISSURAL NEURON AXON GUIDANCE,2
POSITIVE REGULATION OF PROTEIN KINASE C SIGNALING,2
POSITIVE REGULATION OF PEPTIDYL-TYROSINE AUTOPHOSPHORYLATION,2
ACTIVATION OF BLOOD VESSEL ENDOTHELIAL CELL PROLIFERATION DURING SPROUTING ANGIOGENESIS,2
NEGATIVE REGULATION OF CELL-CELL ADHESION MEDIATED BY CADHERIN,2
HEPATIC STELLATE CELL ACTIVATION,2
GRANULOSA CELL DIFFERENTIATION,2
REGULATION OF SKELETAL MUSCLE HYPERTROPHY,2
MRNA BREAKDOWN,2
MYOBLAST CELL DIFFERENTIATION,2
HEXOSE MONOPHOSPHATE PATHWAY,2
REGULATION OF GLUCOSE IMPORT,2
NUCLEOTIDE ANABOLISM,2
AUTOPHAGY OF PEROXISOME,2
DETECTION OF APOPTOTIC CELL,2
ORAL INCUBATION,2
REGULATION OF GLYCOGEN ANABOLISM,2
APOPTOTIC MITOCHONDRIAL CHANGES,2
POSITIVE REGULATION OF FIBROBLAST CELL MIGRATION,2
REGULATION OF NEURON PROJECTION DEVELOPMENT,2
SPINAL CORD DEVELOPMENT,2
ENDOCRINE PANCREAS DEVELOPMENT,2
DOWN REGULATION OF FATTY ACID BETA-OXIDATION,2
MYELIN MAINTENANCE IN PERIPHERAL NERVOUS SYSTEM,2
RESPONSE TO FLUID SHEAR STRESS,2
CELLULAR RESPONSE TO PROSTAGLANDIN E STIMULUS,2
NEGATIVE REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY,2
NEGATIVE REGULATION OF RELEASE OF CYTOCHROME C FROM MITOCHONDRIA,2
DOWN REGULATION OF LEUKOCYTE ADHESION,2
SMOOTH MUSCLE HYPERPLASIA,2
HAIR FOLLICLE DEVELOPMENT,2
SALIVARY GLAND MORPHOGENESIS,2
MAGNESIUM ION HOMEOSTASIS,2
CEREBRAL CORTEX CELL MIGRATION,2
TONGUE DEVELOPMENT,2
POSITIVE REGULATION OF DNA REPLICATION,2
NEURITE MORPHOGENESIS,2
EPITHELIAL FOLDING,2
EYELID DEVELOPMENT IN CAMERA-TYPE EYE,2
POSITIVE REGULATION OF BLOOD VESSEL DIAMETER,2
DOWN REGULATION OF EGF RECEPTOR FAMILY SIGNALING PATHWAY,2
RESPONSE TO ANTIDEPRESSANT,2
BRANCHING MORPHOGENESIS,2
EPITHELIAL CELL DIFFERENTIATION FROM MESENCHYMAL CELL,2
EXPULSION OF GLAND CONTENTS,2
APOPTOSIS OF NEUTROPHILS,2
GERMINAL CENTER B CELL DEVELOPMENT,2
HEPATIC IMMUNE RESPONSE,2
NEUTROPHIL MEDIATED IMMUNITY,2
REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR PRODUCTION,2
RESPONSE TO PEPTIDOGLYCAN,2
NEGATIVE REGULATION OF COLLAGEN ANABOLISM,2
MAINTENANCE OF BBB,2
DOWN REGULATION OF CHEMOKINE BIOSYNTHETIC PROCESS,2
T FOLLICULAR HELPER CELL DIFFERENTIATION,2
NEURON CELLULAR HOMEOSTASIS,2
GLUCAGON SECRETION,2
T-HELPER 17 CELL FATE COMMITMENT,2
HEPATOCYTE PROLIFERATION,2
POSITIVE REGULATION OF APOPTOTIC DNA FRAGMENTATION,2
REGULATION OF MICROGLIAL CELL ACTIVATION,2
NEGATIVE REGULATION OF PRI-MIRNA PROCESSING,2
L-TGF-BETA ACTIVATION,2
NEURAL TUBE CLOSURE,2
HEART VALVE MORPHOGENESIS,2
COPPER-INDUCED PROTEIN EXPORT FROM NUCLEUS,2
PHOSPHATE METABOLIC PROCESS,2
SMAD PROTEIN COMPLEX ASSEMBLY,2
POSITIVE REGULATION OF PATHWAY-RESTRICTED SMAD PROTEIN PHOSPHORYLATION,2
NEURAL TUBE DEVELOPMENT,2
MEMBRANE PROTEIN INTRACELLULAR DOMAIN PROTEOLYSIS,2
CELL-CELL JUNCTION ASSEMBLY AND MAINTENANCE,2
DOWN REGULATION OF PROGRESSION THROUGH CELL CYCLE,2
POSITIVE REGULATION OF CHEMOTAXIS,2
REGULATION OF BINDING,2
REGULATION OF DNA BINDING,2
NEGATIVE REGULATION OF GENE SILENCING BY MICRORNA,2
NEGATIVE REGULATION OF BIOMINERAL TISSUE DEVELOPMENT,2
POSITIVE REGULATION OF EXTRACELLULAR MATRIX ASSEMBLY,2
POSITIVE REGULATION OF TRANSCRIPTION REGULATORY REGION DNA BINDING,2
GLYCINE METABOLIC PROCESS,2
INSULIN BREAKDOWN,2
ADIPONECTIN SECRETION,2
ABERRANT RNA CATABOLIC PROCESS,2
GASTRIC ACID SECRETION,2
SALIVA SECRETION,2
TRIACYLGLYCEROL BIOSYNTHESIS,2
HISTONE H4 ACETYLATION,2
HISTONE H2A ACETYLATION,2
MITOCHONDRIAL PROTEIN ANABOLISM,2
CARTILAGE HOMEOSTASIS,2
REGULATION OF PROTEIN LOCALISATION,2
DOWN REGULATION OF NAD(P)H OXIDASE ACTIVITY,2
REGULATION OF ESTABLISHMENT OF PROTEIN LOCALISATION IN PLASMA MEMBRANE,2
DOWN REGULATION OF REACTIVE OXYGEN SPECIES ANABOLISM,2
CHROMOSOME ORGANISATION,2
CHOLESTEROL EFFLUX,2
DOWN REGULATION OF CAPERASE ACTIVITY,2
NODULATION,2
NUCLEOSIDE METABOLIC PROCESS,2
RELEASE OF VIRUS FROM HOST,2
DIPEPTIDE TRANSPORT,2
HABITUATION,2
RESPONSE TO ACTIVE OXYGEN SPECIES,2
PROTEIN TARGETING TO PEROXISOME,2
RESPONSE TO INACTIVITY,2
REGULATION OF DENDRITIC CELL CYTOKINE PRODUCTION,2
ASTROCYTE CELL DEVELOPMENT,2
POSITIVE REGULATION OF MACROPHAGE CYTOKINE PRODUCTION,2
NEGATIVE REGULATION OF CIT,2
ACTIVATION OF NALP3 INFLAMMASOME COMPLEX ASSEMBLY,2
ACTIVATION OF REACTIVE OXYGEN SPECIES GENERATION,2
POSITIVE REGULATION OF CELLULAR RESPONSE TO M-CSF STIMULUS,2
POSITIVE REGULATION OF MATRIX METALLOPEPTIDASE SECRETION,2
POSITIVE REGULATION OF KERATINOCYTE MIGRATION,2
NEGATIVE REGULATION OF CATION CHANNEL ACTIVITY,2
TEMPERATURE HOMEOSTASIS,2
NEGATIVE REGULATION OF HYDROGEN PEROXIDE BIOSYNTHESIS,2
SEXUAL REPRODUCTION,2
CELLULAR RESPONSE TO HORMONE STIMULUS,2
SOMATIC STEM CELL POPULATION MAINTENANCE,2
IL-21-MEDIATED SIGNALING PATHWAY,2
MRNA TRANSCRIPTION BY RNA POLYMERASE II,2
REGULATION OF FEEDING BEHAVIOR,2
IL-27-MEDIATED SIGNALING PATHWAY,2
IL-35-MEDIATED SIGNALING PATHWAY,2
POSTSYNAPSE TO NUCLEUS SIGNALING PATHWAY,2
NEGATIVE REGULATION OF STEM CELL DIFFERENTIATION,2
NEGATIVE REGULATION OF NEURON CHEMOTAXIS,2
CYTOTOXIC T CELL DEVELOPMENT,2
DOWN REGULATION OF CYTOKINE PRODUCTION,2
REGULATION OF IL-10 PRODUCTION,2
RESPONSE TO BACTERIA ASSOCIATED MOLECULE,2
POSITIVE REGULATION OF B CELL APOPTOTIC PROCESS,2
DOWN REGULATION OF INTERLEUKIN-8 PRODUCTION,2
RESPONSE TO CARBON MONOXIDE,2
DOWN REGULATION OF NITRIC OXIDE BIOSYNTHETIC PROCESS,2
DOWN REGULATION OF MHC CLASS II BIOSYNTHETIC PROCESS,2
BRANCHING INVOLVED IN LABYRINTHINE LAYER MORPHOGENESIS,2
RESPONSE TO ULTRAVIOLET LIGHT STIMULUS,2
REGULATION OF MACROAUTOPHAGY,2
BRAIN RENIN-ANGIOTENSIN SYSTEM,2
LYSINE TRANSPORT,2
CENTRAL NERVOUS SYSTEM NEURON DEVELOPMENT,2
BONE MINERALIZATION INVOLVED IN BONE MATURATION,2
INHIBITION OF APPETITE BY LEPTIN SIGNALING,2
ELASTIN METABOLIC PROCESS,2
FORAGING BEHAVIOR,2
PERISTALSIS,2
ECHOLOCATION,2
INSEMINATION,2
MAD,2
CELLULAR RESPONSE TO HYPEROXIA,2
REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY VIA DEATH DOMAIN RECEPTORS,2
POSITIVE REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC SIGNALING PATHWAY,2
SEPTATION INITIATION NETWORK,2
PROLACTIN SECRETION,2
REGULATION OF ACTIN CYTOSKELETON REMODELING,2
INTRACELLULAR TRANSPORT,2
MYOBLAST PROLIFERATION,2
RESPONSE TO HISTAMINE,2
ZYGOTENE,2
MITOCHONDRIA DEPOLARIZATION,2
MICROTUBULE DEPOLYMERIZATION,2
REGULATION OF ANAGEN,2
EPITHELIUM MORPHOGENESIS,2
CELL PH REGULATION,2
CELLULAR RESPONSE TO FLUID SHEAR STRESS,2
DEFECATION,2
ALUMINIUM ION TRANSPORT,2
DOWN REGULATION OF PROGRAMMED CELL DEATH,2
RESPONSE TO MEDIUM WAVE ULTRAVIOLET LIGHT STIMULUS,2
POSITIVE REGULATION OF CHONDROCYTE DIFFERENTIATION,2
NEGATIVE REGULATION OF PROTEIN SUMOYLATION,2
POSITIVE REGULATION OF T CELL RECEPTOR SIGNALING PATHWAY,2
NOD2 SIGNALING PATHWAY,2
CELLULAR RESPONSE TO PEPTIDOGLYCAN,2
REGULATION OF NIK/NF-KAPPAB CASCADE,2
DOWN REGULATION OF PRI-MIRNA TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER,2
C-X-C CHEMOKINE RECEPTOR CXCR4 SIGNALING PATHWAY,2
"3',5' CAMP BIOSYNTHESIS",2
INDUCTIVE CELL MIGRATION,2
EPITHELIAL CELL DEVELOPMENT,2
CELL ADHESION RECEPTOR REGULATOR ACTIVITY,2
CXCL12-ACTIVATED CXCR4 SIGNALING PATHWAY,2
DETECTION OF TEMPERATURE STIMULUS INVOLVED IN SENSORY PERCEPTION OF PAIN,2
ENDOTHELIAL TUBE MORPHOGENESIS,2
HISTONE CHAPERONE,2
REGULATION OF HR,2
CENTRAL NERVOUS SYSTEM DEVELOPMENT,2
GROWTH CONE COLLAPSE,2
DOWN REGULATION OF PHOSPHATIDYLINOSITOL 3-KINASE CASCADE,2
"REGULATION OF SYNAPTIC TRANSMISSION, GABAERGIC",2
NEGATIVE REGULATION OF PEPTIDYL-SERINE PHOSPHORYLATION,2
RESPONSE TO ADENOSINE 5'-TRIPHOSPHATE,2
LOCOMOTOR RHYTHM,2
ARSENATE SENSITIVITY/RESISTANCE,2
BRAIN MORPHOGENESIS,2
DOWN REGULATION OF PHAGOCYTOSIS,2
DOWN REGULATION OF AXONOGENESIS,2
REGULATION OF AKT SIGNALING CASCADE,2
SYNAPSE MATURATION,2
PROSTATE GLAND GROWTH,2
POSITIVE REGULATION OF PROTEIN DEGRADATION TAGGING ACTIVITY,2
NEGATIVE REGULATION OF RECEPTOR ACTIVITY,2
ACTIVATION OF PHOSPHOLIPASE C ACTIVITY BY G-PROTEIN COUPLED RECEPTOR PROTEIN SIGNALING PATHWAY COUPLED TO IP3 SECOND MESSENGER,2
REGULATION OF FRIZZLED SIGNALING PATHWAY,2
MULLERIAN TRACT DEVELOPMENT,2
VAGINA DEVELOPMENT,2
REGULATION OF SIGNAL TRANSDUCTION,2
HIPPOCAMPAL FORMATION DEVELOPMENT,2
REGULATION OF CELL ADHESION MEDIATED BY INTEGRIN,2
REELER-MEDIATED SIGNALING PATHWAY,2
DOWN REGULATION OF NATURAL KILLER CELL MEDIATED CYTOTOXICITY,2
REGULATION OF DENDRITE DEVELOPMENT,2
CELLULAR RESPONSE TO NITRIC OXIDE,2
EQUATOR SPECIFICATION,2
RNA STABILIZATION,2
CLASS I TRANSPOSITION,2
PROTEIN TRANSPORT,2
AGE-RELATED RESISTANCE,2
GENE-SPECIFIC TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER,2
RESPONSE TO LIGHT STIMULUS,2
CELLULAR RESPONSE TO CA2+ ION,2
BETA-NERVE GROWTH FACTOR PRODUCTION,2
PROPRIOCEPTION,2
NERVE GROWTH FACTOR SIGNALING PATHWAY,2
REGULATION OF MAP KINASE CASCADE,2
RESPONSE TO CHEMOKINE,2
POSITIVE REGULATION OF CELLULAR ANABOLISM,2
POSITIVE REGULATION OF INNATE IMMUNE RESPONSE,2
DOWN REGULATION OF G-PROTEIN COUPLED RECEPTOR PROTEIN SIGNALING PATHWAY,2
POSITIVE REGULATION OF CALCIUM ION TRANSPORT,2
POSITIVE REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY,2
POSITIVE REGULATION OF NATURAL KILLER CELL CHEMOTAXIS,2
RELEASE OF SEQUESTERED CALCIUM ION BY SARCOPLASMIC RETICULUM INTO CYTOSOL,2
BIOLOGICAL SIGNALING,2
LUNG FORMATION,2
POSITIVE REGULATION OF NEUTROPHIL DEGRANULATION,2
DOWN REGULATION OF DOPAMINE METABOLIC PROCESS,2
CELL-CELL ADHESION VIA PLASMA-MEMBRANE ADHESION MOLECULES,2
FACE MORPHOGENESIS,2
LATERAL INHIBITION,2
ACTION POTENTIAL FIRING,2
REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE,2
ANDROGEN RECEPTOR SIGNALING PATHWAY,2
LEYDIG CELL DIFFERENTIATION,2
POSITIVE REGULATION OF IGF RECEPTOR SIGNALING PATHWAY,2
POSITIVE REGULATION OF TRANSCRIPTION BY RNA POLYMERASE III,2
PROSTATE GLAND EPITHELIUM MORPHOGENESIS,2
EPITHELIAL CELL DIFFERENTIATION INVOLVED IN PROSTATE GLAND DEVELOPMENT,2
POSITIVE REGULATION OF EPITHELIAL CELL PROLIFERATION INVOLVED IN PROSTATE GLAND DEVELOPMENT,2
CELLULAR RESPONSE TO STEROID HORMONE STIMULUS,2
NEUTROPHIL EXTRAVASATION,2
CUTIN ANABOLISM,2
CELL MIGRATION INVOLVED IN WOUND HEALING EPIBOLY,2
MONOCYTE AGGREGATION,2
AMINO ACID ACTIVATION,2
T-HELPER 1 CELL FATE COMMITMENT,2
POSITIVE REGULATION OF NEURON MATURATION,2
CELLULAR RESPONSE TO NUTRIENT LEVELS,2
MATERNAL PROCESS INVOLVED IN FEMALE PREGNANCY,2
POSITIVE REGULATION OF CELL GROWTH INVOLVED IN CARDIAC MUSCLE CELL DEVELOPMENT,2
POSITIVE REGULATION OF NOCICEPTION,2
REGULATION OF CDK ACTIVITY,2
RESPONSE TO ORGANIC NITROGEN,2
INTESTINAL EPITHELIAL CELL MATURATION,2
OXYGEN FREE RADICAL METABOLIC PROCESS,2
ANTEROGRADE AXON CARGO TRANSPORT,2
SUPEROXIDE ANION GENERATION,2
POSITIVE REGULATION OF CATALYTIC ACTIVITY,2
COPPER SENSITIVITY/RESISTANCE,2
CARDIAC CONTRACTION,2
CELLULAR RESPONSE TO ADENOSINE 5'-TRIPHOSPHATE,2
REACTIVE OXYGEN SPECIES METABOLIC PROCESS,2
JA SIGNALING,2
DOWN REGULATION OF MONOCYTE DIFFERENTIATION,2
SEED COAT DEVELOPMENT,2
RESPONSE TO 1-OLEOYL LYSOPHOSPHATIDIC ACID,2
PLATELET EXTRUSION,2
ABORTIVE MITOSIS,2
POSITIVE REGULATION OF MITOTIC CELL CYCLE,2
REGULATION OF PROTEIN EXPORT FROM CELL NUCLEUS,2
POSITIVE REGULATION OF HORMONE SECRETION,2
REGULATION OF TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY,2
GO:0072613,2
RESPONSE TO HEMATOPOIETIC GROWTH FACTOR KL,2
CELLULAR RESPONSE TO HEMATOPOIETIC GROWTH FACTOR KL,2
HEPARAN SULFATE BIOSYNTHETIC PROCESS,2
RECEPTOR RECYCLING,2
LYMPHOID PROGENITOR CELL DIFFERENTIATION,2
GLYCOSPHINGOLIPID METABOLIC PROCESS,2
MAINTENANCE OF PLURIPOTENCY,2
LAMELLIPODIUM ASSEMBLY,2
SOMATIC STEM CELL DIVISION,2
POSITIVE REGULATION OF NEUTROPHIL CHEMOTAXIS,2
GO:0072640,2
DOPAMINE TRANSPORT,2
REGULATORY T CELL DEVELOPMENT,2
DOPAMINE ANABOLISM,2
MOTOR BEHAVIOR,2
TRANSPIRATION,2
SYSTEM DEVELOPMENT,2
DOPAMINE METABOLIC PROCESS,2
REGULATION OF SEED GROWTH,2
SEED DEVELOPMENT,2
ESTABLISHMENT OF LYMPHOCYTE POLARITY,2
IMMUNE SYSTEM DEVELOPMENT,2
DOPAMINE ANABOLISM FROM TYROSINE,2
CELLULAR RESPONSE TO MANGANESE,2
NEGATIVE REGULATION OF CELL ADHESION MOLECULE PRODUCTION,2
CELLULAR CHAPERONE-MEDIATED PROTEIN COMPLEX ASSEMBLY,2
PEPTIDE MODIFICATION,2
HORMONE BREAKDOWN,2
AMYLOID-BETA METABOLIC PROCESS,2
DOWN REGULATION OF GAP JUNCTION ASSEMBLY,2
GROWTH REGULATOR,2
DOWN REGULATION OF ENZYME ACTIVITY,2
TLR2:TLR1 SIGNALING PATHWAY,2
CELLULAR RESPONSE TO TRIACYL BACTERIAL LIPOPEPTIDE,2
HOG RESPONSE,2
ACTIVATION OF NF-KAPPAB-INDUCING KINASE ACTIVITY,2
POSITIVE REGULATION OF TLR SIGNALING PATHWAY,2
CELLULAR RESPONSE TO EXOGENOUS DOUBLE-STRANDED RNA,2
CELLULAR POTASSIUM ION TRANSPORT,2
APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO HORMONE,2
DETECTION OF REDOX STATE,2
REGULATION OF TELOMERE LENGTH,2
DNA DOUBLE-STRAND BREAK PROCESSING,2
HISTONE PHOSPHORYLATION,2
POSITIVE REGULATION OF HISTONE PHOSPHORYLATION,2
HORMONE ANABOLISM,2
POSITIVE REGULATION OF SIGNAL TRANSDUCTION,2
ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS,2
AGGLUTINATION,2
MEMBRANE TO MEMBRANE DOCKING,2
CELL ADHESION MEDIATED BY INTEGRIN,2
EOSINOPHIL MIGRATION,2
C1326578,2
C1149307,2
C1149785,2
B CELL ANERGY,2
C1177284,2
DOWN REGULATION OF CELL-MATRIX ADHESION,2
SUCROSE ANABOLISM,2
RESPONSE TO ANGIOTENSIN,2
SEED GERMINATION,2
C1160631,2
KERATINOCYTE MIGRATION,2
MULTIVESICULAR BODY ASSEMBLY,2
REGULATION OF RECEPTOR SIGNALING PATHWAY VIA JAK-STAT,2
REGULATION OF PROTEIN LOCALISATION AT CELL SURFACE,2
INTERACTION WITH HOST,2
REGULATION OF MYELOID CELL DIFFERENTIATION,2
DOWN REGULATION OF TYPE 2 IMMUNE RESPONSE,2
POSITIVE REGULATION OF LEUKOCYTE TETHERING OR ROLLING,2
POSITIVE REGULATION OF MONOCYTE EXTRAVASATION,2
POSITIVE REGULATION OF HEMATOPOIETIC STEM CELL MIGRATION,2
CHROMOSOME DIVISION,2
DOWN REGULATION OF HISTONE ACETYLATION,2
CHORDATE EMBRYONIC DEVELOPMENT,2
DOWN REGULATION OF FATTY ACID BIOSYNTHETIC PROCESS,2
POSITIVE REGULATION OF HISTONE H3-K4 METHYLATION,2
PROTEIN AUTO-UBIQUITINATION,2
CELLULAR RESPONSE TO INDOLE-3-CARBINOL,2
HEAT GENERATION,2
APOPTOTIC DNA FRAGMENTATION,2
POSITIVE REGULATION OF DENDRITIC CELL DIFFERENTIATION,2
REGULATED EXOCYTOSIS,2
NEGATIVE REGULATION OF EXTRACELLULAR MATRIX CONSTITUENT SECRETION,2
NEGATIVE REGULATION OF CARDIAC MUSCLE HYPERTROPHY,2
ACTIVATION OF APOPTOSIS INVOLVED IN DEVELOPMENT,2
GO:0072620,2
TISSUE MIGRATION,2
S-ADENOSYL METHIONINE TRANSPORT,2
RESTING T CELL PROLIFERATION,2
FIMBRIA BIOGENESIS,2
TRYPTOPHAN BREAKDOWN,2
IMMUNE CELL MEDIATED CELL DEATH,2
GO:0072619,2
NEGATIVE THYMIC T CELL SELECTION,2
REGULATION OF NITROGEN UTILIZATION,2
CALCIUM ION HOMEOSTASIS IN ENDOPLASMIC RETICULUM,2
RETINA DEVELOPMENT IN CAMERA-STYLE EYE,2
ACTIVATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC SIGNALING PATHWAY,2
ACTIVATION OF ER UNFOLDED PROTEIN RESPONSE,2
APOPTOTIC CELL DEATH INVOLVED IN EMBRYONIC DIGIT MORPHOGENESIS,2
C1148930,2
C1159982,2
C1160321,2
C1326489,2
C1371409,2
PHAGOSOME MATURATION,2
ENUCLEATION,2
PEPTIDE SECRETION,2
LYTIC VIRAL LIFE CYCLE,2
REGULATION OF PROTEIN BREAKDOWN,2
DOWN REGULATION OF JAK-STAT CASCADE,2
PROTEIN LOCALISATION IN MEMBRANE,2
C1155279,2
C1155982,2
C1522975,2
LEAF DEVELOPMENT,2
PEPTIDYL-LYSINE OXIDATION,2
REGULATION OF MEGAKARYOCYTE DIFFERENTIATION,2
BLOOD VESSEL MORPHOGENESIS,2
CELLULAR RESPONSE TO CHEMOKINE,2
C1149412,2
"PHAGOCYTOSIS, RECOGNITION",2
HISTAMINE METABOLIC PROCESS,2
NEUROFIBRILLARY TANGLE ASSEMBLY,2
AXON TRANSPORT OF MITOCHONDRIA,2
CYTOPLASMIC MICROTUBULE ORGANISATION,2
FIBRIL ORGANISATION,2
AXON CARGO TRANSPORT,2
DOWN REGULATION OF TUBULIN DEACETYLATION,2
POSITIVE REGULATION OF GAMMA-DELTA T CELL DEVELOPMENT,2
REGULATION OF PHAGOCYTOSIS,2
DOWN REGULATION OF MICROGLIAL CELL ACTIVATION,2
C1156810,2
EPIDERMIS DEVELOPMENT,2
NEGATIVE REGULATION OF RECEPTOR BIOSYNTHETIC PROCESS,2
NEGATIVE REGULATION OF SEQUESTERING OF TRIACYLGLYCEROL,2
POSITIVE REGULATION OF FATTY ACID METABOLIC PROCESS,2
POSITIVE REGULATION OF FATTY ACID OXIDATION,2
