,disease_to_gene_occurrences,disease_to_gene_pub_counts,disease_to_int_to_gen_occurrences,disease_to_int_to_gene_pubs,disease_symtpoms_gene_related_to,disease_symtpoms_gene_related_to_count,unique_symptoms_count,gene_to_symptoms_pub_counts,gene_edges_out,final_symptom_score,relevance_score
MMP2,0,0,103,247,"['ABNORMALITY OF THE CARDIOVASCULAR SYSTEM', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HYPOXIA', 'HYPOXIA', 'DYSPNEA', 'ACUTE KIDNEY FAILURE']",8,4,20,7392,6.81211639615804,0.07741447138787931
PPARA,0,0,76,86,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HYPOXIA', 'HYPOXIA', 'ACUTE KIDNEY FAILURE']",7,3,11,3462,6.330495421857089,0.07702036722686344
MAPK3,0,0,124,207,"['CARDIOVASCULAR DISEASE', 'HYPOXIA', 'HYPOXIA', 'ACUTE KIDNEY FAILURE']",4,3,4,3646,3.897174104895651,0.0761729902587974
CX3CL1,0,0,73,25,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HEADACHE', 'HYPOXIA', 'ACUTE KIDNEY FAILURE']",5,4,5,1254,3.9051431464290296,0.07574365121032163
PTGS2,0,0,100,47,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HYPOXIA', 'FEVER']",6,3,4,4746,5.481579142310291,0.07543407956098598
MYD88,0,0,128,217,"['FEVER', 'DECREASED IMMUNE FUNCTION', 'HYPOXIA']",3,3,3,2275,2.9490192165094147,0.07536282072286689
BAX,0,0,94,173,"['FEVER', 'FEVER', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE']",8,3,17,5178,6.017334939011,0.07442360248438756
CXCL10,1,0,127,19,['CARDIOVASCULAR DISEASE'],1,1,1,1649,0.8111071056538127,0.07323299337343975
CREBBP,0,0,117,86,"['ABNORMAL TISSUE MASS', 'BREATHING DIFFICULTIES', 'HYPOXIA', 'HYPOXIA']",4,3,9,3958,4.007913426705602,0.07087253634640002
TLR2,1,0,84,9,"['ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'CARDIOVASCULAR DISEASE']",3,2,1,1388,0.8111071056538127,0.07076564155883333
GAPDH,0,0,82,16,"['HYPOXEMIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE']",3,2,0,1819,3.8971741048956505,0.07071688847917408
EGF,0,0,123,154,"['HEADACHE', 'HYPOXIA', 'CHRONIC LUNG DISEASE', 'ACUTE KIDNEY FAILURE']",4,4,4,3682,3.6437565700009475,0.07028983621791228
CREB1,0,0,92,166,"['HYPOXIA', 'HYPOXIA', 'HYPOXIA']",3,1,8,3386,4.629100498862757,0.06926204976071668
ESR1,0,0,86,112,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HYPOXIA', 'HYPOXIA', 'HEADACHE', 'FEVER']",6,4,9,5414,6.14229386612407,0.06783447199013007
ERVK-10,0,0,77,111,"['FEVER', 'FEVER', 'ACUTE KIDNEY FAILURE', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE']",6,4,11,3262,5.285408545043893,0.06714250582378987
PIK3CB,0,0,98,312,"['HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE']",4,2,6,4242,4.708281210549464,0.06713484535802249
PTH,0,0,74,63,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HEADACHE', 'HEADACHE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'HYPOXIA']",11,4,23,4705,6.26725279323714,0.06363991531798135
OXT,1,0,17,1,['HEADACHE'],1,1,0,925,0.7398954355004851,0.06330696007460807
COX2,0,0,82,28,"['BREATHING DIFFICULTIES', 'DIABETES MELLITUS', 'FEVER', 'CARDIOVASCULAR DISEASE', 'HYPOXIA']",5,5,2,2406,4.0055302938042985,0.06319779038595666
JUN,1,0,86,24,['CARDIOVASCULAR DISEASE'],1,1,0,1816,0.8111071056538127,0.062235284925649954
CSF2,1,0,96,4,['FEVER'],1,1,1,1413,0.6941172200741212,0.06216424734096638
FOXO3,0,0,76,90,"['HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE']",3,2,3,2165,3.8971741048956505,0.05995870931186665
PSMB6,0,0,106,30,"['HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE']",3,2,4,4338,3.8971741048956505,0.05953030006053462
RPS2,0,0,82,8,"['HYPOXEMIA', 'HYPOXIA', 'ACUTE KIDNEY FAILURE', 'CARDIOVASCULAR DISEASE']",4,3,0,2596,3.8971741048956505,0.059195289529117706
PIK3R1,0,0,87,65,"['DIABETES MELLITUS', 'DECREASED IMMUNE FUNCTION', 'COUGH', 'FEVER']",4,4,15,1989,3.1365488213193062,0.057830012205538885
TIMP1,0,0,80,66,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HYPOXIA', 'ACUTE KIDNEY FAILURE']",5,3,7,2724,3.976354816582357,0.057487825194822206
CD19,1,0,95,73,"['DECREASED IMMUNE FUNCTION', 'ACUTE KIDNEY FAILURE']",2,2,0,1732,0.7118684968143743,0.057418917802255276
F3,1,0,73,7,"['ACUTE KIDNEY FAILURE', 'CARDIOVASCULAR DISEASE']",2,2,0,2003,0.8111071056538127,0.056979782917393466
BCR,0,0,85,70,"['FEVER', 'HYPOXIA', 'HYPOXIA']",3,2,2,2927,3.7801842193159594,0.05610213564568595
TF,0,0,75,53,"['ABNORMALITY OF THE CARDIOVASCULAR SYSTEM', 'HYPOXIA', 'HYPOXIA', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE']",5,3,3,2821,3.897174104895651,0.051816827920806184
IGF1,0,0,84,59,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HYPOXIA', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE']",5,3,5,2380,3.1652477109285444,0.05146746468564583
MYC,0,0,84,44,"['DECREASED IMMUNE FUNCTION', 'HYPOXIA', 'HYPOXIA']",3,2,3,3503,3.797935496056212,0.050902728969015015
SQSTM1,0,0,72,105,"['ABNORMAL BREATHING', 'HYPOXIA', 'HYPOXIA']",3,2,2,2319,3.5676879735427898,0.050168859480743795
CD14,0,0,121,163,"['FEVER', 'FEVER', 'CARDIOVASCULAR DISEASE']",3,2,4,2616,2.199341545802055,0.049501740333907876
TWIST1,0,0,87,33,"['HYPOXIA', 'HYPOXIA']",2,1,3,3211,3.086066999241838,0.04478203462007899
IGHE,0,0,76,182,"['CARDIOVASCULAR DISEASE', 'COUGHING', 'CHRONIC LUNG DISEASE']",3,3,7,3111,3.426846350809673,0.043982108399435754
APC,0,0,75,25,"['ABNORMAL TISSUE MASS', 'ABNORMAL BREATHING', 'FEVER', 'MUSCLE ACHE', 'HEADACHE']",5,5,37,2693,3.1622640788940757,0.04303308845117219
FASN,0,0,80,52,"['HYPOXIA', 'HYPOXIA']",2,1,2,3770,3.086066999241838,0.03792529573413981
SLC17A5,0,0,98,33,"['HYPOXIA', 'CARDIOVASCULAR DISEASE']",2,2,1,3418,2.354140605274732,0.03739532397654018
RPSA,0,0,91,68,"['HYPOXIA', 'CARDIOVASCULAR DISEASE']",2,2,1,3054,2.354140605274732,0.03667647482024494
BCL2,0,0,82,81,"['HYPOXIA', 'HYPOXIA', 'ACUTE KIDNEY FAILURE']",3,2,4,4482,3.086066999241838,0.03567459975493306
FGFR1,0,0,105,26,"['BREATHING DIFFICULTIES', 'BREATHING DIFFICULTIES', 'HYPOXIA', 'ACUTE KIDNEY FAILURE']",4,3,4,5023,2.5062754482228224,0.03523579976226812
PITX2,0,0,88,14,"['CARDIOVASCULAR DISEASE', 'HYPOXIA']",2,2,3,3117,2.354140605274732,0.035080206919094546
FOXP3,0,0,89,30,"['BREATHING DIFFICULTIES', 'DIABETES MELLITUS', 'CARDIOVASCULAR DISEASE']",3,3,0,1831,1.7683795741092583,0.03478165702799733
CD34,0,0,116,73,['HYPOXIA'],1,1,8,2421,1.543033499620919,0.034584580276098856
CD69,0,0,85,113,['HYPOXIA'],1,1,1,1339,1.543033499620919,0.03385812130596662
VCAM1,0,0,76,44,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE']",2,1,1,1212,1.6222142113076254,0.03335710173308044
SDS,0,0,82,6,"['HEADACHE', 'HYPOXIA']",2,2,2,2837,2.282928935121404,0.0331705299187386
CSH1,0,0,76,65,"['ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'HYPOXIA', 'CARDIOVASCULAR DISEASE']",4,3,4,2605,2.354140605274732,0.0330186986158834
C5AR1,0,0,90,48,"['RESPIRATORY DISTRESS', 'CHRONIC LUNG DISEASE', 'ACUTE KIDNEY FAILURE']",3,3,2,2336,1.842448609180495,0.03245199003588433
WDTC1,0,0,75,76,"['HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE']",3,2,8,4771,3.1652477109285444,0.03236126972196596
PTPN11,0,0,84,174,"['ABNORMAL TISSUE MASS', 'HYPOXIA']",2,2,36,2897,1.9832589527837308,0.02922932096095498
NOD2,0,0,132,3,"['ABNORMAL BREATHING', 'FEVER']",2,2,0,3238,1.1757381943750729,0.025984553267873977
CD2,0,0,81,110,"['HYPOXIA', 'ACUTE KIDNEY FAILURE']",2,2,1,2174,1.543033499620919,0.025291371108926528
MS4A1,0,0,85,41,"['DECREASED IMMUNE FUNCTION', 'ACUTE KIDNEY FAILURE', 'CARDIOVASCULAR DISEASE']",3,3,1,2418,1.522975602468187,0.024868099034209834
KRT8,0,0,75,10,"['FEVER', 'CARDIOVASCULAR DISEASE']",2,2,0,2076,1.505224325727934,0.02332975144109293
RAF1,0,0,78,142,['HYPOXIA'],1,1,1,2501,1.543033499620919,0.022684635177663327
TAT,0,0,80,123,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE']",2,1,1,2926,1.6222142113076254,0.022628998906612473
PSMD2,0,0,83,7,"['FEVER', 'CARDIOVASCULAR DISEASE']",2,2,1,3134,1.505224325727934,0.021068637411823247
CD80,0,0,104,102,['CARDIOVASCULAR DISEASE'],1,1,0,1799,0.8111071056538127,0.01886959131212866
IFNE,0,0,96,1,['CARDIOVASCULAR DISEASE'],1,1,0,1671,0.8111071056538127,0.018043364919905783
ISG20,0,0,108,351,['CARDIOVASCULAR DISEASE'],1,1,0,2277,0.8111071056538127,0.01743019532708454
IRF1,0,0,83,60,['CARDIOVASCULAR DISEASE'],1,1,1,1394,0.8111071056538127,0.01702282113928949
CTLA4,0,0,142,5,"['DECREASED IMMUNE FUNCTION', 'ACUTE KIDNEY FAILURE']",2,2,1,3391,0.7118684968143743,0.016556312410318467
DDX41,0,0,105,10,['CARDIOVASCULAR DISEASE'],1,1,0,2408,0.8111071056538127,0.016469745467798766
CASP14,0,0,157,1,['CARDIOVASCULAR DISEASE'],1,1,0,5840,0.8111071056538127,0.015914873047127093
CD28,0,0,89,237,['CARDIOVASCULAR DISEASE'],1,1,1,1965,0.8111071056538127,0.015399828319376762
NMS,0,0,108,1,['CARDIOVASCULAR DISEASE'],1,1,0,3016,0.8111071056538127,0.015144958954547101
PSMD1,0,0,111,4,['CARDIOVASCULAR DISEASE'],1,1,0,3348,0.8111071056538127,0.014781267523099138
STAT6,0,0,81,79,['CARDIOVASCULAR DISEASE'],1,1,0,1858,0.8111071056538127,0.014380770001300438
CCR2,0,0,89,99,"['CARDIOVASCULAR DISEASE', 'ACUTE KIDNEY FAILURE']",2,2,1,2443,0.8111071056538127,0.013811327486061427
MOCOS,0,0,74,3,['CARDIOVASCULAR DISEASE'],1,1,0,1831,0.8111071056538127,0.013202805586515133
HGF,0,0,79,28,['CARDIOVASCULAR DISEASE'],1,1,1,2176,0.8111071056538127,0.012952070021972373
RPS6,0,0,74,26,['CARDIOVASCULAR DISEASE'],1,1,1,1938,0.8111071056538127,0.012833157196107723
NOS2,0,0,74,19,"['ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'CARDIOVASCULAR DISEASE']",4,2,1,1977,0.8111071056538127,0.012705947770169737
TNFSF11,0,0,73,52,['CARDIOVASCULAR DISEASE'],1,1,2,2017,0.8111071056538127,0.012404615397404449
LMOD1,0,0,89,23,['CARDIOVASCULAR DISEASE'],1,1,0,3662,0.8111071056538127,0.011280750311102587
SBDS,0,0,77,1,['BREATHING DIFFICULTIES'],1,1,20,2486,0.4816209743009517,0.007008350138319138
BBS9,0,0,83,29,"['DIABETES MELLITUS', 'ACUTE KIDNEY FAILURE']",2,2,1,3301,0.47565149415449404,0.006487103394920066
APOH,1,0,20,1,['ACUTE KIDNEY FAILURE'],1,1,0,778,0.0,0.0
CD55,0,0,75,1,['ACUTE KIDNEY FAILURE'],1,1,0,2189,0.0,0.0
IRF3,1,0,105,235,['ACUTE KIDNEY FAILURE'],1,1,0,1479,0.0,0.0
C3,1,0,108,5,"['ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE']",3,1,1,2255,0.0,0.0
GZMB,1,0,44,0,['ACUTE KIDNEY FAILURE'],1,1,0,706,0.0,0.0
KITLG,0,0,96,26,['ACUTE KIDNEY FAILURE'],1,1,0,2915,0.0,0.0
C5,1,0,78,4,['ACUTE KIDNEY FAILURE'],1,1,0,1898,0.0,0.0
IL33,0,0,86,2,['ACUTE KIDNEY FAILURE'],1,1,1,1459,0.0,0.0
